RAYNES-PARK-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ242689,Long,-0.21576944,Lat,51.405537,Elevation,50,ft.,,,,,,,,,,,,,
Station no,157,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.73,2.11,1.69,3.43,0.81,2.8,1.66,1.82,1.21,1.57,1.2,,,,,
February,,,,,,3.26,2.2,2.75,1.41,0.43,0.61,1.25,0.17,2.83,0.26,2.61,,,,,
March,,,,,,0.48,0.13,2.86,1.23,0.02,1.65,0.39,1.34,3.54,2.28,0.33,,,,,
April,,,,,,1.75,3.54,2.05,1.82,1.02,1.63,4.93,2.64,0.52,2.04,,,,,,
May,,,,,,1.39,1.21,1.38,2.64,1.38,2.97,2.9,4.08,3.25,0.46,1.13,,,,,
June,,,,,,0.25,3.38,3.37,2.27,1.05,0.7,1.91,0.82,2.63,0.75,,,,,,
July,,,,,,3.74,1.99,2.77,1.8,1.27,1.98,4.39,2.58,1.16,2.29,1.2,,,,,
August,,,,,,2.11,1.12,4.26,2.85,2.5,3.08,5.29,1.02,0.64,2.43,,,,,,
September,,,,,,2.17,1.59,4.42,0.99,0.13,3.47,2.74,1.75,2.52,1.48,,,,,,
October,,,,,,2.48,2.41,0.92,3.83,2.57,1.1,0.73,4.72,1.66,1.41,,,,,,
November,,,,,,1.41,4.79,2.74,1.37,5.41,4.3,2.13,1.07,0.87,2.13,,,,,,
December,,,,,,1.66,0.29,2.55,2.44,5.3,1.87,0.51,0.41,0.05,7.36,,,,,,
Total,,,,,,22.43,24.76,31.76,26.08,21.89,26.16,28.83,22.42,20.88,24.46,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the school on Whately Avenue, which fits the relationships to church and station. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
