NUNEATON WESLEY HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP362915,Long,-1.4675454,Lat,52.520272,Elevation,280,ft,,,,,,,,,,,,
Station no,RR8873,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.01,2.72,2.02,,,,,,,,
February,,,,,,,,,,1.48,1.14,0.33,,,,,,,,
March,,,,,,,,,,4.08,1.56,1.44,,,,,,,,
April,,,,,,,,,,3.87,0.75,2.3,,,,,,,,
May,,,,,,,,,,3.57,2.15,2.92,,,,,,,,
June,,,,,,,,,,2.23,1.47,2.31,,,,,,,,
July,,,,,,,,,,1.88,2.31,,,,,,,,,
August,,,,,,,,,,3.17,,,,,,,,,,
September,,,,,,,,,2.13,2.38,,,,,,,,,,
October,,,,,,,,,0.53,2.37,1.34,,,,,,,,,
November,,,,,,,,,3.36,1.35,3.14,,,,,,,,,
December,,,,,,,,,2,1.38,0.29,,,,,,,,,
Total,,,,,,,,,,28.77,,,,,,,,,,
