BATH-BATHWICK-ST-JOHN-BAPTIST-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST754655,Long,-2.35492,Lat,51.38806,Elevation,70,ft,,,,,,,,,,,,
Station no,RR8791,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.9,3.19,2.14,0.97,,,3.57,0.54,,,
February,,,,,,,,,,1.23,0.7,0,2.36,,0.79,0.19,0.45,,,
March,,,,,,,,,,3.38,1.17,2.34,0.83,0.22,1.53,2.42,2.91,,,
April,,,,,,,,,,3.4,1.35,1.21,0.69,0.07,2.56,2.8,0.84,,,
May,,,,,,,,,,2.18,1.91,2.92,0.9,1.57,1.73,0.31,0.44,,,
June,,,,,,,,,,1.5,2.33,0.94,2.47,0.87,2.84,0.57,1.33,,,
July,,,,,,,,,,1.85,2.93,2.51,3.41,3.48,,3.66,-999,,,
August,,,,,,,,,,4.45,3.01,5,3.65,,,2.53,-999,,,
September,,,,,,,,,,1.11,1.02,2.45,2.82,1.29,3.13,1.73,6.25,,,
October,,,,,,,,,1.16,2.36,1.01,8.59,2.73,3.68,3.35,4.28,2.59,,,
November,,,,,,,,,5.68,1.18,1.85,2.89,2.17,2.16,4.84,6,0.72,,,
December,,,,,,,,,3.05,1.6,1.92,4.75,1.07,,2.54,2.54,4.43,,,
Total,,,,,,,,,,25.14,22.39,35.74,24.07,,,30.6,24,,,
,,,,,,,,,,,,,,,,,,,,
1893 Observations very irregular and total about 2in short,,,,,,,,,,,,,,,,,,,,
1896 July Aug Bracketed Combined total 3.5,,,,,,,,,,,,,,,,,,,,
