"FORDINGBRIDGE (FURZE HILL)",,,,,,,,,,,,
Grid ref,SU167112,Long,-1.763893,Lat,50.900038,,,,,,,
Station no,627/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.88,2.51,1.30,2.19,3.61,4.62,2.81,3.90,3.86,4.34,,
February,5.87,0.69,1.99,3.14,1.86,0.22,3.88,3.07,0.27,3.31,,
March,4.50,3.69,0.80,4.23,1.24,0.84,2.41,1.33,4.12,2.40,,
April,3.40,2.12,2.77,0.31,0.50,2.17,0.30,0.75,3.04,1.78,,
May,2.79,3.12,2.64,2.27,3.95,0.45,1.92,1.90,1.06,1.43,,
June,0.46,1.08,3.48,3.44,3.20,1.81,1.40,3.82,1.67,2.02,,
July,1.68,0.42,4.80,3.24,0.45,1.69,4.53,1.74,2.37,4.97,,
August,5.04,3.59,2.50,4.52,0.07,4.04,2.41,5.32,2.23,6.00,,
September,4.10,4.51,3.29,3.23,1.90,4.58,2.98,4.59,0.10,6.24,,
October,1.60,4.64,4.39,3.52,4.31,2.78,2.90,3.65,3.61,10.71,,
November,10.16,4.02,2.32,5.63,2.98,1.08,2.21,2.38,4.40,5.82,,
December,3.34,2.96,0.97,3.32,5.29,5.47,2.96,3.80,8.53,4.20,,
Total,46.82,33.35,31.25,39.04,29.36,29.75,30.71,36.75,35.26,53.22,,
Calc annual,46.82,33.35,31.25,39.04,29.36,29.75,30.71,36.25,35.26,53.22,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,,
