FORDINGBRIDGE-FURZE-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU167112,Long,-1.7627,Lat,50.900046,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,627/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.68,0.74,5.79,6.26,3.69,6.51,3.31,3.78,4.43,7.08,2.52,1.81,3.06,3.19,6.07,0.77,0.79,3.88,2.51,1.3,2.19,3.61,4.62,2.81,3.9,3.86,4.34
February,,,,0.11,4.21,2.93,6.41,0.94,1.87,3.88,3.62,0.3,1.29,0.59,2.33,3.15,1.6,1.12,1.49,5.35,5.87,0.69,1.99,3.14,1.86,0.22,3.88,3.07,0.27,3.31
March,,,,3.35,1.01,3.36,3.91,0.27,1.13,2.97,4.14,2.53,0.68,0.26,1.05,1.08,6.48,1.24,1.48,1.75,4.5,3.69,0.8,4.23,1.24,0.84,2.41,1.83,4.12,2.4
April,,,,2.52,3.86,1.9,2.43,0,2.26,1.05,2.02,2.06,0.55,1.81,0.93,3.1,2.47,1.5,1.67,2.47,3.4,2.12,2.77,0.31,0.5,2.17,0.3,0.75,3.04,1.78
May,,,,0.66,1.55,1.66,3.23,2.05,1.26,0.78,1.63,3.61,2.87,0.21,2.4,3.95,1.81,3.13,2.26,1.35,2.79,3.12,2.64,2.27,3.95,0.45,1.92,1.9,1.06,1.43
June,,,,0.93,4.24,2.85,1.02,0.61,2.39,0.28,1.3,0.56,1.08,1.91,3.26,4.86,1.41,2.44,0.44,1.31,0.46,1.08,3.48,3.44,3.2,1.81,1.4,3.82,1.67,2.02
July,,,1.79,1.04,0.69,4.96,1.83,2.57,6.37,2.57,2.46,1.38,2.08,2.79,1.14,1.29,1.08,0.88,0.88,4.61,1.68,0.42,4.8,3.24,0.45,1.69,4.53,1.74,2.37,4.97
August,,,1.28,4.4,3.19,0.29,1.18,2.3,2.83,0.04,3.86,4.24,1.5,2.37,2.29,4.48,0.57,3.18,1.17,3.25,5.04,3.59,2.5,4.52,0.07,4.04,2.41,5.32,2.23,6
September,,,1.43,2.52,3.77,4.31,2.9,1.73,2.38,1.83,1.25,2.47,2.34,2.14,2.63,4.89,1.1,2.62,2.51,4.04,4.1,4.51,3.29,3.23,1.9,4.58,2.98,4.59,0.1,6.24
October,,,1.83,1.72,6.54,2.1,4.26,3.45,5.61,4.35,0.99,4.44,4.45,4.91,3.6,1.42,0.94,2.27,7.53,1.01,1.6,4.64,4.39,3.52,4.31,2.78,2.9,3.65,3.61,10.71
November,,,1,2.72,7.43,3.64,1.68,6.33,7.01,8.25,2.62,1.77,1.53,6.21,0.46,6.16,1.42,1.76,4.45,6.31,10.16,4.02,2.32,5.63,2.98,1.08,2.21,2.38,4.4,5.82
December,,,0.92,10.01,4.89,3.79,5.39,4.86,2.02,2.83,2.17,5.08,2.74,2.78,4.8,3.98,3.51,5.82,1.7,1.97,3.34,2.96,0.97,3.32,5.29,5.47,2.96,3.8,8.53,4.2
Total,,,,32.66,42.12,37.58,40.5,28.8,41.64,32.14,29.84,32.87,28.19,28.5,26.7,41.42,25.58,32.03,26.35,34.21,46.82,33.35,31.25,39.04,29.36,29.75,30.71,36.75,35.26,53.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Furze Hill SRC_ID 7822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
