BURNOPFIELD LEAZES HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ166569,Long,-1.742635,Lat,54.906545,Elevation,585,ft,,,,,,,,,,,,
Station no,RR7491,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.52,0.55,1.47,0.87,2.43,,,,,,,,,
February,,,,,,,0.99,1.14,1.45,1.84,3.28,,,,,,,,,
March,,,,,,,1.49,1.39,4.12,5.38,0.62,,,,,,,,,
April,,,,,,,1.89,2.78,2.88,2.43,2.42,,,,,,,,,
May,,,,,,,5.08,3.78,2.3,1.98,1.85,,,,,,,,,
June,,,,,,,1.5,2.41,0.31,2.5,1.27,,,,,,,,,
July,,,,,,,1.75,1.93,2.74,2.08,2.62,,,,,,,,,
August,,,,,,,2.62,2.24,2.12,3.8,3.19,,,,,,,,,
September,,,,,,,0.88,0.63,2.48,1.79,0.8,,,,,,,,,
October,,,,,,,4.19,6.55,1.94,2.14,,,,,,,,,,
November,,,,,,,3.94,2.11,1.32,0.55,,,,,,,,,,
December,,,,,,,1.98,3.5,0.9,4.25,,,,,,,,,,
Total,,,,,,,28.83,29.01,24.03,29.61,,,,,,,,,,
