LOCHGILPHEAD EDERLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 873 029,Long,-5.428267,Lat,56.171248,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,7.1,2.22,4.93,1.2,6.99,,,,,,,,,5.27,9.05,6.1,8.47,,,,,
February,,,,,,,,,2.46,3,6.73,5.51,4.82,,,,,,,,,1.77,4.6,7.19,10.13,,,,,
March,,,,,,,,,4.65,6.01,3.97,5.78,6.59,,,,,,,,,5.81,1.11,4.27,5.02,,,,,
April,,,,,,,,,3.03,1.86,2.49,1.15,3.13,,,,,,,,2.39,1.76,2.33,2.53,2.85,,,,,
May,,,,,,,,,4.37,3.8,1.35,2.5,3.94,,,,,,,,1.94,1.71,7.73,3.4,3.07,,,,,
June,,,,,,,,,4.21,3.63,4.68,5.58,4.17,,,,,,,,7.46,2.32,4.68,0.31,4.54,,,,,
July,,,,,,,,,3.04,7.03,4.27,9.2,7.82,,,,,,,,6.05,0.95,4.85,7.85,4.91,,,,,
August,,,,,,,,,5.55,5.55,3.13,4.07,5.95,,,,,,,,6.08,7.7,6.01,6.24,4.61,,,,,
September,,,,,,,,,9.52,10.48,4.76,4.2,5.4,,,,,,,,10.85,7.52,9.24,6.99,0.54,,,,,
October,,,,,,,,,10.79,5.4,1.22,4.25,5,,,,,,,,9.45,7.5,3.98,9.61,3.24,,,,,
November,,,,,,,,,2.7,2.47,7.44,8.36,9.56,,,,,,,,14.85,6.57,7.82,5.88,8.36,,,,,
December,,,,,,,,,2.71,4.39,11.07,8.67,7.34,,,,,,,,2.03,9.47,5.95,9.68,6.89,,,,,
Total,,,,,,,,,60.13,55.84,56.04,60.47,70.71,,,,,,,,,58.35,67.35,70.05,62.63,,,,,
