KETTERING-MONTAGUE-STREET (Queensberry Street),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP865780,Long,-0.730264,Lat,52.393198,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,-999,1.41,2.93,1.31,2.42,0.94,2.64,3.2,1.07,0.78,2.14,2.2,1.06,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,-999,1.67,0.18,0.64,3.09,1.13,1.79,4.63,1.11,1.67,0.88,3.15,0.68,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,-999,0.82,1.87,2.34,3.48,1.97,0.71,0.65,2.56,1.32,2.91,1.5,2.66,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.39,1.42,1.61,1.03,1.82,2.24,2.15,0.81,2.6,1.19,1.99,1.22,2.16,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.92,1.84,0.32,0.48,1.77,3.28,1.86,1.28,1.59,2.15,2.08,2.03,1.17,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.19,2.36,0.69,3.57,1.97,1.06,0.99,1.87,1.85,2.46,2.91,0.94,2.67,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.68,3.3,2.82,1.37,0.32,0.89,1.37,1.62,2.71,1.16,2.5,1.96,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.7,2.35,2.05,2.07,3.47,2.41,1.31,3.76,1.85,2.79,3.41,2.25,2.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1,1.33,0.63,4.75,2.65,0.45,2.9,0.55,1.13,1.52,2.86,1.72,1.87,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.59,2.93,2.26,3.93,1.29,2.48,2.29,1.44,1.58,1.76,5.8,0.69,1.11,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,2.14,3.46,3.67,1.08,0.9,1.51,1.74,2.28,0.88,1.89,1.6,1.25,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,1.94,1.99,1.97,3.28,2.19,2.13,1.38,3.92,3.74,1.12,1.26,1.65,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
