CONISTON (THWAITE COTTAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SD310977,Long,-3.0635758,Lat,54.370118,Elevation,150,ft,,,,,,,,,,,,
Station no,3027/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,12.8,5.59,11.15,10.03,13.42,11.59,5.11,2.54,10.88,14.91,14,8.06,14.13,8.64,14.1,8.55,6.06
February,,,,0.77,15.38,3.62,13.78,4.83,11.43,3.63,9.06,3.11,6.81,4.44,9.78,8.15,0.81,7.5,7.92,9.86
March,,,,6.45,2.72,6.44,3.25,6.27,6.53,10.8,5.38,6.93,3.3,1.33,6.01,5.22,10.53,6.56,4.81,6.45
April,,,,5.47,6.48,1.85,5.13,1.63,4.64,4.32,2.65,3.98,5.88,5.33,4.84,2.17,8.92,4.52,10.31,8.1
May,,,,7.1,1.79,1.57,2.82,7.41,1.16,1.38,7.51,6.11,8.71,4.73,5.42,2.01,4.09,3.1,3.92,3.24
June,,,,3.42,8.07,6.08,5.01,8.86,5.7,1.2,1.02,2.23,6.3,7.93,6.07,7.67,5.18,11.07,1.24,4.45
July,,,,3.47,4.43,6.96,4.77,12.59,12.9,7.9,2.45,7.26,7.8,3.67,6.2,7.37,5.45,4.35,4.67,6.38
August,,,6.19,7.85,5.38,6.4,4.29,4.91,2.55,3.82,10.31,7.62,13.27,8.26,3.38,7.93,0.14,9.7,4.94,
September,,,1.22,11.77,13.25,9.63,7.21,5,3.62,9.75,2.18,9.04,9.87,11.11,7.53,15.2,6,10.52,3.13,
October,,,6.84,14.33,15.76,9.05,4.17,21.06,4.13,9.32,10.35,13.33,10.68,8.77,9.91,0.7,1.7,7.52,9.79,
November,,,3.91,2.07,8.09,10.45,3.21,12.84,13.99,11.87,6.93,3.1,7.49,15.04,0.57,14.78,14.6,8.63,13.49,8.1
December,,,2.05,13.31,7.28,13.07,6.85,9.03,5.32,13.04,7.09,12.09,4.75,10.07,6.26,11.92,5.7,8.1,14.85,
Total,,,,88.81,94.22,86.27,70.52,107.85,83.56,82.14,67.47,85.68,99.77,94.68,74.03,97.25,71.76,95.67,87.62,
,,,,,,,,,,,,,,,,,,,,
1934 Oct 14.33,,,,,,,,,,,,,,,,,,,,
"1050 Aug, Sept, Oct, Dec, Total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
