"CHESWARDINE KNIGHTON RESERVOIR",,,,,,,,,,,,
Grid ref,SJ736282,Long,-2.393463,Lat,52.850646,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.72,2.20,1.33,1.97,2.33,1.03,4.02,1.90,1.64,1.65,,
February,3.81,1.79,1.55,1.50,3.65,0.73,2.44,1.46,1.96,0.70,,
March,1.16,2.34,2.08,3.86,1.53,3.80,2.28,1.40,2.95,2.73,,
April,1.29,2.50,2.01,1.96,1.30,2.02,1.69,2.10,2.39,2.01,,
May,1.89,1.20,3.22,2.42,2.17,0.86,2.67,3.67,2.23,1.07,,
June,3.58,1.73,2.33,1.49,0.83,2.06,2.16,5.00,2.06,3.14,,
July,1.91,5.09,1.88,2.94,2.10,1.71,0.80,4.29,3.15,3.78,,
August,5.65,3.62,3.56,4.63,4.17,5.63,2.17,2.97,3.78,3.47,,
September,0.80,1.36,1.16,4.55,1.82,1.34,1.60,1.08,2.79,2.48,,
October,4.55,3.30,2.80,6.04,0.95,1.61,5.27,4.05,1.90,4.40,,
November,2.80,2.51,1.86,3.31,1.65,2.98,3.16,2.65,2.20,1.01,,
December,3.86,2.99,2.06,1.52,2.05,0.44,3.85,2.37,2.46,4.12,,
Total,34.02,30.63,25.84,36.19,24.55,24.21,32.11,32.94,29.51,30.56,,
Calc annual,34.02,30.63,25.84,36.19,24.55,24.21,32.11,32.94,29.51,30.56,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
