CHESWARDINE-KNIGHTON-RES-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ735283,Long,-2.3949556,Lat,52.85154,Elevation,351,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.43,4,3.34,0.94,0.68,,,,,,,,,,,2.72,2.2,1.33,1.97,2.33,1.03,4.02,1.9,1.64,1.65
February,,,,,,2.53,0.89,0.64,0.71,2.19,,,,,,,,,,,3.81,1.79,1.55,1.5,3.65,0.73,2.44,1.46,1.96,0.7
March,,,,,,1.21,3.12,1.83,2.14,2.91,,,,,,,,,,,1.16,2.34,2.08,3.86,1.53,3.8,2.28,1.4,2.95,2.73
April,,,,,,2.63,1.14,1.18,1.68,2.85,,,,,,,,,,,1.29,2.5,2.01,1.96,1.3,2.02,1.69,2.1,2.39,2.01
May,,,,,,1.69,5.84,1.66,0.73,2.88,,,,,,,,,,,1.89,1.2,3.22,2.42,2.17,0.86,2.67,3.67,2.23,1.07
June,,,,,,3.76,0.91,1.71,2.29,0.78,,,,,,,,,,,3.58,1.73,2.33,1.49,0.83,2.06,2.16,5,2.06,3.14
July,,,,,,0.67,3.43,1.44,5.07,2.37,,,,,,,,,,,1.91,5.09,1.88,2.94,2.1,1.71,0.8,4.29,3.15,3.78
August,,,,,,0.87,1.81,1.88,3.43,4.72,,,,,,,,,,,5.65,3.62,3.56,4.63,4.17,5.63,2.17,2.97,3.78,3.47
September,,,,,,3.83,2.62,2.55,0.9,3.2,,,,,,,,,,,0.8,1.36,1.16,4.55,1.82,1.34,1.6,1.08,2.79,2.48
October,,,,,,4.56,4.97,2.67,0.87,3.32,,,,,,,,,,,4.55,3.3,2.8,6.04,0.95,1.61,5.27,4.05,1.9,4.4
November,,,,,,3.82,1.98,1.62,4.01,1.24,,,,,,,,,,,2.8,2.51,1.86,3.31,1.65,2.98,3.16,2.65,2.2,1.01
December,,,,,,1.41,4.01,2.26,2.33,2.3,,,,,,,,,,,3.86,2.99,2.06,1.52,2.05,0.44,3.85,2.37,2.46,4.12
Total,,,,,,28.41,34.72,22.78,25.1,29.44,28.5,38.56,34.15,26.81,27.26,26.37,28.65,27.62,26.38,27.9,34.02,30.63,25.84,36.19,24.55,24.21,32.11,32.94,29.51,30.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on the quoted lat of 52:51:09N and long of 02:23:40W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 8 inch gauge was replaced by a 5 inch gauge in Feb 1909 with an 11 month overlap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 1890s record is not included in the Met Office records and the annual totals have been taken from the British Rainfall Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1880s records have been corrected for ""wrong day"" and the corrected results have been included in these records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
