BODFARI-CAE-GWYN-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ086728,Long,-3.3711352,Lat,53.244324,Elevation,534,ft.,,,,,,,,,,,,,,
Station no,4281/5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,
January,,,,2.06,1.66,1.69,1.67,2,3.65,1.11,3.88,1.77,,,,,,,,,,
February,,,,3.04,0.64,3.55,1.29,1.12,1.76,0.78,0.35,2.37,,,,,,,,,,
March,,,,0.68,0.52,0.81,0.27,3.14,1.13,0.01,2.83,0.3,,,,,,,,,,
April,,,,1.21,1.93,1.18,0.89,1.24,1.09,0.82,3.02,1.92,,,,,,,,,,
May,,,,2.92,4.13,3.24,2.41,1.64,1.88,1.41,1.35,2.77,,,,,,,,,,
June,,,,0.68,1.97,0.02,0.96,3.71,4.34,1.54,1.34,3.26,,,,,,,,,,
July,,,,2.53,4.02,3.39,4.63,2.75,1.09,2.84,2.57,1.88,,,,,,,,,,
August,,,,2.34,4.27,3.42,2.7,6.34,2.38,2.27,3.67,4.81,,,,,,,,,,
September,,,,3.08,4.36,3.17,3.44,5.09,2.38,2.25,2.48,4.47,,,,,,,,,,
October,,,,4.54,2.9,3.78,2.5,2.32,3.63,3.38,3.65,1.03,,,,,,,,,,
November,,,,3.23,1.12,3.55,3.74,3.33,2.92,4.37,3.25,3.8,,,,,,,,,,
December,,,,4.2,2.73,2.29,1.03,1.15,2.24,4.18,3.53,1.88,,,,,,,,,,
Total,,,,30.51,30.25,30.09,25.53,33.83,28.49,24.96,31.92,30.26,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NGR is Cae Gwyn. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,
