DUBH EAS,,,,,,,,,,,,,,,,,,,,
Grid ref,NN291203,Long,-4.76674,Lat,56.34411,Elevation,1210,ft,,,,,,,,,,,,
Station no,5573/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,11.54,21.91,10.96,12.33,8.5,12.07,11.2,6.33,7.9,17.22,13.36,3.11,8.28
February,,,,,,,,14.12,17.34,12.37,6.01,5,10.41,6.1,3.68,5.24,7.57,5.52,6.93,9.71
March,,,,,,,,17.33,6.37,7.51,5.87,10.35,5.08,8.38,1.64,5.72,12.64,3.27,11.62,4.3
April,,,,,,,,8.99,17.44,9.58,8.67,5.68,6.91,6.32,7.91,5.11,4.95,6.06,8.72,13.18
May,,,,,,,,3.73,6.03,3.16,2.46,3.61,5.58,5.82,6.09,8.89,4,9.47,2.51,7.14
June,,,,,,,,7.47,3.2,7.4,4.05,7.56,1.38,8.29,6.08,7.89,5.36,3.83,8.18,6.49
July,,,,,,,,9.47,5.48,13.02,9.14,7.3,12.33,7.31,1.02,8.57,8.75,6.05,10.91,9.85
August,,,,,,,,12.71,9.78,12.28,9.8,10.08,10.32,9.99,3.11,8.18,10.72,10.67,7.51,5.74
September,,,,,,,,18.04,7.05,22.4,10.54,8.73,17.78,16.71,11.59,10.47,7.44,10.9,2.84,5.89
October,,,,,,,,20.77,16.38,17.67,5.66,13.56,11.49,20.99,13.01,11.3,17.74,12.97,14.43,6.37
November,,,,,,,,9.95,13.23,8.98,14.79,4.12,24.01,18.56,6.17,9.2,5.4,3.48,13.08,13.31
December,,,,,,,,15.32,26.68,5.06,20.6,11.59,13.55,25.59,21.71,17.77,16.28,12.04,19.1,16.26
Total,,,,,,,,149.44,150.89,130.39,109.92,96.08,130.91,145.26,88.34,106.24,118.07,97.62,108.94,106.52
,,,,,,,,,,,,,,,,,,,,
BR 1952 P Ja Feb Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5573/8,,,,,,,,,,,,,,,,,,,
Midas,13714,,,,,,,,,,,,,,,,,,,
Hyd Stn,661807,,,,,,,,,,,,,,,,,,,
