"DENTON RESERVOIR",,,,,,,,,,,,
Grid ref,SJ913957,Long,-2.132491,Lat,53.457978,,,,,,,
Station no,304249,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.84,1.60,2.11,2.50,2.60,1.89,4.02,1.27,2.28,1.63,,
February,2.12,1.14,0.87,2.56,2.76,1.66,2.89,1.85,2.60,1.47,,
March,0.62,1.92,1.37,3.52,1.75,3.34,2.75,2.78,2.28,2.49,,
April,2.39,2.14,1.86,1.62,2.17,2.28,2.03,1.36,1.98,2.67,,
May,1.43,0.60,2.97,2.62,2.86,0.68,2.55,3.60,1.94,1.49,,
June,2.96,1.54,0.96,1.04,0.86,2.82,1.08,5.07,1.65,2.35,,
July,2.86,4.02,1.88,3.04,1.07,2.34,1.82,3.31,3.92,4.64,,
August,4.25,1.34,3.13,3.46,3.78,4.10,2.77,3.31,2.94,2.88,,
September,1.00,0.64,0.96,4.10,1.20,2.24,1.42,0.77,2.89,2.07,,
October,3.89,2.90,4.00,6.18,1.18,3.00,5.86,3.30,1.33,4.77,,
November,1.95,4.11,1.23,3.41,2.41,2.65,2.79,2.15,2.34,0.95,,
December,4.00,4.73,2.00,0.91,2.60,0.60,3.45,2.76,2.27,5.55,,
Total,31.31,26.68,23.34,34.96,25.24,27.60,33.43,31.53,28.42,32.96,,
Calc annual,31.31,26.68,23.34,34.96,25.24,27.60,33.43,31.53,28.42,32.96,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
