DENTON RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ913957,Long,-2.1331,Lat,53.4573,Elevation,324,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2933/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.61,3.89,5.57,3.7,2.18,2.31,1.95,3.31,3.35,4.55,5,1.58,0.83,3.22,5.28,5.34,3.45,4.42,2.44,8.26,2.26,2.15,3.87,4.26,1.7,3.94,2.5,4.99,2.33,3.32,3.11,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.85,0.27,4.36,0.14,3.42,0.32,3.41,1.91,5.94,1.24,3.81,2.07,3.37,1.68,2.73,2.2,3.65,5.95,0.67,2.3,1.96,4.27,2.57,1.29,2.18,3.12,1.69,1.03,2.16,4.57,0.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.77,2.46,0.24,2.01,3.13,2.84,1.92,1.53,1.93,1.25,2.22,3.08,3.17,2.28,0.99,0.66,1.19,0.89,5.66,1.2,1.84,2.17,4.98,2.65,2.33,2.87,2.25,1.11,2.86,2.39,1.7,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.16,1.53,3.6,3.15,1.17,1.53,2.94,0.77,3.05,0.42,2.29,2.17,1.52,1.72,1.94,3.02,2.28,1.82,3.04,1.43,3.23,3.4,2.72,3.68,2.5,0.98,2.3,2.29,0.33,1,2.85,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.19,1.72,2.44,3.93,1.7,2.3,0.77,0.3,2.15,3.49,1.8,1.35,1.85,4.43,2.58,3.95,4.42,1.13,2.38,1.32,3.83,1.71,1.56,1.85,1.96,3.37,3.44,1.08,1.46,2.78,0.74,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.16,3.57,5.79,0.59,2.62,2.15,3.78,2.8,1.63,4.25,3.41,1.06,1.29,0.95,3.76,2.96,4.19,3.84,2.64,5.3,1.27,2.93,1.34,2.97,3.23,3.41,2.88,2.05,2.35,5.26,2.54,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.77,5.45,3.79,4.14,2.59,2.73,1.42,4.85,3.15,4.86,7.35,5.34,2.32,4.59,2.16,3.54,2.2,5.15,4.15,3.32,1.75,4.16,3.41,3.45,5.49,6.6,1.27,5.2,3.85,4.64,3.49,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.7,4.62,6.83,1.17,1.34,2.67,1.54,2.52,1.75,2.58,1.5,1.78,5.15,3.85,5.27,4.13,3.38,4.49,0.6,4.36,2.65,4.71,4.87,3.45,4.36,6.03,1,9.73,4.63,4.85,0.37,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.47,2.19,3.86,3.65,0.81,3.33,5.8,4.88,1.86,2.02,1.4,3.17,0.64,2.46,4.47,4.55,2.99,5.63,2.59,2.55,0.72,5.65,2.62,3.73,2.74,4.78,2.17,2.58,6.41,4.03,0.18,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.35,4.72,1.76,7.35,4.65,5.04,6.04,3.68,1.58,6.86,1.64,3.5,5.16,6.12,3.21,3.61,6.11,0.62,0.62,2.61,2.93,2.67,1.15,3.91,2.34,7.08,1.88,2.24,4.13,3.03,2.98,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,4.19,6.58,4.41,5.66,2.65,1.17,1.25,4.38,3.83,1.73,4.71,6.04,6.54,2.49,1.02,3.31,6.56,0.72,5.35,4.36,2.32,5.24,5.66,6.72,2.82,3.63,6.1,1.67,1.52,1.76,1.37,3.82,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.69,5.42,2.69,1.37,1.3,0.51,4.23,3.26,3.44,2.68,4,3.21,3.96,1.75,3.46,2.08,2.91,2.6,3.65,3.36,3.16,5.8,3.56,6.02,3.98,1.68,5.65,4.09,3.49,3.94,2.98,4.6,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,33.03,37.52,45.27,33.78,25.29,30.7,37.21,33.82,30.8,40.23,39.67,35.6,29.54,35.78,37.78,43.43,37.18,42.94,32.51,38.13,33.48,43.04,41.83,38.04,34.14,53.93,27.14,37.31,36.21,40.22,26.71,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
