BURGHEAD STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 116 688,Long,-3.485432,Lat,57.699881,Elevation,18,ft,,,,,,,,,,,,
Station no,RR2001,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,2.97,1.05,1.34,3.17,0.61,2.04,1.3,0.83,1.25,0.61,1.98,1.74,,,,,,
February,,,0.46,0.97,0.27,0.81,3.12,2.37,0.55,0.64,0.84,2.26,1.67,,,,,,,
March,,,1.45,1.76,1.74,1.44,4.29,2.03,1.47,1.83,0.93,1.32,2.91,,,,,,,
April,,,0.71,1.19,0.52,1.4,2.14,1.71,0.25,0.9,1.38,0.23,2.35,,,,,,,
May,,,1.86,2.38,1.51,1.2,0.73,2.59,2.9,2.88,0.47,2.33,1.49,,,,,,,
June,,,5.61,1.08,1.09,1.29,1.79,3.18,1.32,1.98,2.1,1.26,3.12,,,,,,,
July,,,2.06,2.7,2.25,5,2.05,3.37,1.59,3.28,3.06,4.28,2.87,,,,,,,
August,,,2.87,2.66,4.85,1.65,1.28,4.96,3.43,3.7,0.37,2.1,2.36,,,,,,,
September,,,3.76,5.8,1.77,3.31,3.06,1.33,2.97,1.42,0.98,2.39,3.36,,,,,,,
October,,,3.99,3.01,1.84,1.45,2.58,3.01,2.41,1.2,3.34,2.66,2.5,,,,,,,
November,,,2.71,2.73,2.19,3,2.09,2.57,5.47,1.88,3.24,1.99,2.47,,,,,,,
December,,,1.47,2.04,1.95,1.85,3.75,2.13,2.96,1.2,3.96,0.8,4.59,,,,,,,
Total,,,29.92,27.37,21.32,25.57,27.49,31.29,26.62,21.74,21.92,22.23,31.67,,,,,,,
