"RETFORD BABWORTH HALL",,,,,,,,,,,,
Grid ref,SK686810,Long,-0.971614,Lat,53.321490,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.82,1.20,0.80,2.25,2.08,0.65,2.42,0.83,0.83,1.34,,
February,4.10,0.95,1.48,0.61,3.63,0.77,1.60,1.57,0.70,0.60,,
March,0.70,1.70,1.95,2.98,2.20,2.57,1.32,1.45,2.42,3.26,,
April,1.05,1.30,2.20,1.20,1.21,1.84,0.75,1.22,1.95,1.28,,
May,1.60,1.08,2.04,2.55,2.34,0.19,0.93,3.24,2.08,1.06,,
June,1.95,1.50,1.30,1.75,0.84,1.68,1.70,3.43,1.72,3.18,,
July,1.20,2.80,1.69,2.08,1.70,1.59,0.90,1.62,2.50,4.35,,
August,4.40,1.10,3.88,4.64,3.14,2.58,1.19,2.58,2.64,4.01,,
September,1.05,0.50,1.55,2.95,1.42,1.50,0.68,0.45,1.49,2.10,,
October,2.50,1.20,2.00,6.79,0.55,1.20,5.16,5.49,0.65,3.06,,
November,1.60,1.40,2.04,1.62,0.80,2.08,1.24,2.07,1.18,0.15,,
December,2.50,3.80,1.29,0.80,1.24,0.65,2.30,2.52,1.47,4.96,,
Total,25.47,18.53,22.22,30.22,21.15,17.30,20.19,26.47,19.63,29.35,,
Calc annual,25.47,18.53,22.22,30.22,21.15,17.30,20.19,26.47,19.63,29.35,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
