GLENDUROR FOREST,,,,,,,,,,,,
Grid ref,NN048544,Long,-5.184828,Lat,56.640599,,,,,,,
Station no,5400/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.75,10.50,10.20,8.00,5.75,10.60,17.75,12.50,5.40,9.50,,
February,5.40,5.00,8.75,6.20,6.80,5.65,7.60,6.55,8.50,9.20,,
March,9.25,5.25,3.60,6.00,2.60,5.50,11.60,2.70,15.00,3.30,,
April,6.05,4.25,7.40,3.55,5.80,4.10,5.00,6.15,3.25,8.35,,
May,1.50,2.80,8.13,5.00,8.00,10.25,3.25,9.25,3.50,5.05,,
June,3.90,6.20,3.30,9.80,1.25,7.10,5.75,3.50,8.50,5.85,,
July,11.10,5.00,12.00,8.30,4.50,9.00,8.95,4.40,11.90,8.60,,
August,13.40,7.00,12.35,8.35,3.45,7.50,10.65,8.35,8.85,7.30,,
September,9.80,8.00,11.25,16.80,14.50,10.50,7.50,9.50,4.10,5.90,,
October,6.30,12.25,7.00,18.65,10.40,16.65,19.10,14.60,14.10,2.60,,
November,13.20,4.50,20.30,18.65,4.00,10.40,5.40,4.00,14.60,12.20,,
December,20.20,13.55,12.55,17.70,15.95,25.40,15.75,7.50,17.00,13.80,,
Total,112.85,84.30,116.83,127.00,83.00,122.65,118.30,89.00,114.70,91.65,,
Calc annual,112.85,84.30,116.83,127.00,83.00,122.65,118.30,89.00,114.70,91.65,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
