SOUTHWELL-HALAM-HOUSE (WESTGATE),,,,,,,,,,,,,,,,,,,,
Grid ref,SK696535,Long,-0.96258725,Lat,53.074207,Elevation,127,ft,,,,,,,,,,,,
Station no,RR7233,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,,,,,,,0.69,2.34,2.11,
February,,,,,,,,,,,,,,,,,3.87,0.93,1.36,
March,,,,,,,,,,,,,,,,,3.47,1.77,0.93,
April,,,,,,,,,,,,,,,,,1.38,1.44,1.49,
May,,,,,,,,,,,,,,,,,2.16,1.75,2.04,
June,,,,,,,,,,,,,,,,,1.94,1.45,0.6,
July,,,,,,,,,,,,,,,,,1.57,1.27,2.38,
August,,,,,,,,,,,,,,,,,2.04,4.69,1.8,
September,,,,,,,,,,,,,,,,0.89,0.75,1.23,4.13,
October,,,,,,,,,,,,,,,,1.5,1.86,2.97,1.27,
November,,,,,,,,,,,,,,,,2.53,3.11,0.73,1.65,
December,,,,,,,,,,,,,,,,5.03,2.33,0.68,2.92,
Total,,,,,,,,,,,,,,,,,25.17,21.25,22.68,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1915 Sep Gauge moved,,,,,,,,,,,,,,,,,,,,
