SOUTHWELL-HALAM-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK677542,Long,-0.99079511,Lat,53.080742,Elevation,170,ft,,,,,,,,,,,,
Station no,RR7233,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.91,2.36,1.29,4.06,3.44,1.3,2.43,,,,
February,,,,,,,,,,0.66,2.31,1.21,1.57,0.74,1.17,2.95,,,,
March,,,,,,,,,,3.16,0.73,1.56,2.25,3.35,2.44,0.73,,,,
April,,,,,,,,,,1.47,1.73,0.82,0.21,2.84,0.8,0.76,,,,
May,,,,,,,,,,1.28,2.57,1.62,2.21,2.03,1.74,1.43,,,,
June,,,,,,,,,,2.87,1.7,2.25,3.87,0.64,2.4,1.79,,,,
July,,,,,,,,,,3.42,2.37,0.07,3.22,0.41,2.6,5.71,,,,
August,,,,,,,,,,3.85,4,2.45,5.59,1.58,2.47,2.36,,,,
September,,,,,,,,,,3.18,0.7,1.54,0.92,1.61,0.72,,,,,
October,,,,,,,,,,2.91,1.98,2.3,2.37,4.93,2.27,,,,,
November,,,,,,,,,,0.27,3.81,2.25,1.87,1.78,3.13,,,,,
December,,,,,,,,,,4.72,4.39,4.11,3.14,0.7,4.7,,,,,
Total,,,,,,,,,,28.7,28.65,21.47,31.28,24.05,25.74,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1915 Sep Gauge moved,,,,,,,,,,,,,,,,,,,,
