CALLANDER THE GART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN641065,Long,-4.193863,Lat,56.231564,Elevation,242,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.95,9.05,6.18,5.27,7.09,4.31,2.86,8.1,9.92,7.43,7.9,7.64,7.82,4.55,2.15,4.52,0,6.79,7.21,8.13,2.84,5.87,6.48,5.26,2.11,10.2,5.63,6.91,1.54,9.53,1.59,5.04,1.68,4.53,9.65,8.2,3.59,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.29,8.04,6.3,11.24,7.91,2.22,5.18,5.43,2.59,1.75,3.67,5.66,7.5,2.43,0.19,6.68,3.28,5.54,6.81,7.72,9.21,2.54,5.61,3.28,5.23,2.2,1.48,2.9,8.9,14.01,0.01,2.61,5.83,5.85,4.81,3.48,2.64,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,3.12,3.91,1.85,7.37,1.37,2.58,5.22,7.54,2.32,4.32,5.15,8.79,2.48,3.21,0.85,4.36,4.15,7.39,2.02,5.06,4.8,3.95,1.77,3.49,2.3,4.51,4.27,1.73,2.05,9.4,4.56,6.97,8.08,3.25,2.1,1.04,2.59,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,3.4,3.98,6.94,4.05,2.62,2.11,4.55,2.04,0.52,5.28,1.22,3.38,3.21,2.2,1.53,2.05,0.5,2.72,2.76,1.61,4.19,4.14,3.09,2.36,3.26,0.71,1.29,1.55,1.28,1.31,3.32,2.39,3.42,4.54,8.54,3.59,5.54,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.87,1.22,3.04,4.46,0.66,4.3,1.23,3.67,2.79,0.42,1.94,0.42,1.16,4.94,1.92,1.48,4.04,3.75,0.73,6.71,2.21,1.98,0.6,5.61,6.34,2.49,2.89,4.98,2.44,2.08,1.11,1.48,2.34,2.38,3.06,3.29,0.97,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.13,2.33,3.93,3.32,2.5,1.87,0.59,8.69,3.92,3.73,3.84,5.15,8.59,4.06,6.84,3.93,5.03,6.17,6.16,0.56,1.83,1.91,1.57,4.21,1.79,5.34,1.1,4,1.26,3.49,2.47,4.62,7.52,3.3,0.89,6.66,5.25,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.81,4.37,1.68,4.75,1.12,2.89,2.12,6.92,4.53,6.8,4.15,1.48,1.69,4.28,0.89,4.07,2.68,4.54,7.53,4.51,5.57,2.72,4.17,3.48,1.49,2.03,2.91,2.2,4.08,4.87,3.06,5.73,3.51,2.94,1.69,6.39,3.26,3.63,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.41,5.85,8.35,3.37,7.12,0.77,0.45,5.25,4.35,5.95,5.9,2.7,3.42,4.89,6.44,6.39,2.42,4.79,2.87,6.29,5.08,4.24,3.11,2.9,6.25,6.51,5.53,5.33,6.5,5.38,6.89,9.3,2.6,5.33,3.11,0.52,5.11,5.38,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,8.05,3.66,8.53,4.8,1.73,5.72,4.97,1.93,11.15,5.09,8.48,5.12,6.13,5.03,5.06,5.65,3.54,3.2,4.42,3.16,2.81,7.51,4.64,5.45,3.76,1.26,4.1,6.38,6.57,2.19,0.46,2.12,5.45,4.92,5.58,5.15,5.11,3.8,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.6,5.24,3.73,5.65,8.28,6.02,6.09,5.23,3.76,8.48,9.38,8.85,7.97,7.38,6.54,2.8,0.5,3.97,4.68,6.57,4.56,4.81,7.84,0.15,0.57,3.85,5.26,7.71,8.83,5.48,1.65,2.76,6.31,3.9,8.46,4.17,6.28,4.73,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
