PAISLEY W.W ( BACK THORNLYMUIR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS467592,Long,-4.447262,Lat,55.801688,Elevation,646,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.75,,4.6,,3.5,3,8,,6.35,9.8,1.6,,,,,,,6.7,1.7,3.3,5.1,6,8,7,7,6.8,9,5.1,4.5,12.24,4.08,8.8,,3.27,3.86,9.78,10.59,5.86,8.45,4.44,9.12,5.8,1.43,3.87,0.11,7.37,8.42,9.38,2.87,4.93,3.92,4.25,4.27,6.81,3.97,3.75,1.46,5.99,0.99,3.28,1.4,5.6,8.03,8.42,3.4,6.31,8.84,4.68,2.54,5,2.18,7.25,5.55,5.31,5.19,4.1,4.69,4.1,3.98,9.02,3.18,5.39,5.24,6.2,9.61,5.28,5.52,6.13,6.83,7.72,7.53,12.01,2.3,9.42,4.79,12.03,5.02,7.96,2.54,4.89,6.16,9.23,6.12,2.89,1.31,7.32,6.07,7.51,3.47,8.48,6.32,8.18,8.88,4.78,7.49,7.66,2.6,3.68,3.22,3.75,7.99,6.31,1.89,2.79
February,,7,,,,4.9,5.1,1.2,,2.9,3.6,2.9,,,,,,,5,1.5,5.8,3,1.7,8.2,5.3,5.3,2.8,5.1,3.9,2.83,6.8,5.19,9.44,,4.27,6.05,5.91,1.35,0.97,2.15,5.69,4.94,3.63,2.18,5.16,3.92,6.46,4.34,5.85,6.43,2.43,5.18,0.77,3.7,0.96,1.3,1.59,4.82,9.81,0.57,4.33,5.09,5.41,2.77,2.87,1.95,2.18,9.23,3.23,2.82,3.7,3.49,3.42,3.63,5.28,10.44,4.87,5.15,5.54,6.6,5.72,1.08,7.9,0.93,7.87,1.88,5.83,5.08,1.33,5.2,6.11,3.23,6.56,2.6,0.45,6.09,0.15,7.11,0.74,6.9,2.66,5.83,4.33,8.39,2.26,5.54,1.9,8.74,2.9,9.38,3.35,0.45,6.69,8.24,6.36,4.33,2.07,1.99,5.77,4.24,1.67,3.74,3.86,2.93,3.47
March,,1.4,8.2,,,4.9,8.25,2,,4,6.7,2.7,,,,,,,5,3,0.2,3.5,2.8,7.8,5.7,8.3,6.5,2.1,5.3,2.15,2.05,1.01,7.16,,0.81,3.09,4.47,2.58,4.38,1.96,5.8,2.9,2.75,5.25,3.35,3.74,5.83,0.36,3.65,3.8,4.54,2.2,4.29,2.55,3.71,2.32,0.84,1.95,3.43,4.16,6.79,5.65,2.66,5.24,0.4,2.75,4.11,8.68,2.39,4.29,3.6,4.95,4.58,1.93,4.22,2.06,6.12,7.08,6.01,2.82,1.94,2.6,2.14,4.53,6.47,8.95,2.13,2.63,1.13,2.48,4.83,4.16,4.36,1.23,4.43,1.47,2.52,4.58,4.24,2.61,3.56,1.26,5.9,4.13,5.76,3.83,2.82,3.43,1,4.82,4.52,5.3,5.49,2.6,3.56,4.47,3.96,1.36,3.44,2.1,2.61,4.49,0.74,3.46,4.07
April,,2.4,3.1,1.9,,3.8,,3,,2.1,1.7,1.3,,,,,,,1.2,2.6,2.3,2.5,3.5,4.4,1.3,0.7,3.6,6.2,3,1.26,1.65,7.07,3.9,,2.96,-999,1.59,0.42,1.29,2.46,2.19,4.05,3.04,1.6,4.38,1.7,2.61,4.82,1.96,2.43,2.46,3.09,2.08,2.97,1.87,1.15,1.12,1.52,2.38,3.45,2.59,3.07,3.7,4.91,3.66,4.66,1.32,2.15,4.83,3.5,1.88,2.24,3.54,6.05,4.76,4.26,3.18,4.16,3.82,3.33,3.91,1.78,0.71,1.8,1.72,1.21,3.34,4,3.11,6.81,3.42,3.71,1.98,1.67,1.68,1.85,4.93,3.05,3.82,4.01,1.75,2.8,1.23,3.15,3.03,2.41,2.83,4.61,3.73,2.94,2.46,8.25,4.59,7.84,3.37,3.3,2.55,2.2,2,2.67,1.71,3.26,2.25,3.82,3.87
May,,2.6,2.5,3.7,,4.2,3.7,4.2,,1.5,2.5,4.6,,,,,,,5.8,2.7,4.2,2.6,5.9,5,3.5,1.8,5.8,4.4,1.3,4.6,1.95,3.57,3.37,,4.93,-999,3.54,3.22,2.7,2.47,0.9,3.8,3.61,2.65,1.77,2.99,3.16,3.84,4.6,3.13,2.38,1.19,4.18,3.39,3.57,2.14,4.78,3.24,3.78,0.24,0.76,3.29,2.21,4.75,4.25,2.32,2.63,3.51,3.36,2.23,5.23,3.42,3.13,1.84,2.44,3.4,1.5,3.53,2.53,1.36,3.89,3,2.24,0.77,5.89,3.09,5.84,2.26,4.79,7.81,3.38,2.42,1.96,4.41,2.6,5.04,3.53,2.23,3.76,0.54,1.81,1.82,5.12,1.29,0.9,3.48,3.29,4.21,4.76,6.42,1.44,5.39,1.86,3.68,1.54,1.96,2.32,1.86,3.68,4.5,3.68,3.24,3.4,1.41,2.81
June,,3,6,2.9,,2.9,3.55,2.8,,5,4.4,,,,,,,,4.8,3.1,6.2,2.6,3.6,2,4.8,3.2,3.3,4.6,3.9,0.79,3,2.2,2.92,,1.92,-999,6.24,2.34,2.53,3.98,4.87,5.01,3.1,6.72,2.75,4.89,4.71,3.56,2.75,1.9,2.25,1.17,3.14,0.78,4.66,1.92,4.07,3.1,3.03,2.2,4.71,7.52,3.28,2.09,4.64,3.29,1.93,2.72,1.91,1.45,1.64,4.56,3.8,4,2.3,2.91,5.82,4.01,0.92,2.71,3.69,5.24,1.6,4.65,3.06,0.54,2.22,1.52,3.22,1,2.91,4.83,6.59,3.6,3.06,6.85,0.83,2.5,2.97,5.49,2,4.03,7.12,2.79,0.88,1.06,2.2,3.77,5.81,4.18,3.86,4.18,6.66,1.05,2.05,3.27,5.02,1.81,2.79,2.64,3.14,2.44,3.53,4.58,3.26
July,,4,6.2,,,3.75,3.45,3.4,,3.4,6,,,,,,,,2.8,2.5,2.5,0.8,4.2,3.9,1.9,,,0.6,3.1,2.3,4,5.5,0.55,,2.78,4.3,5.31,6.6,1.91,2.29,4.21,5.44,0.21,4.86,4.6,5.4,4.9,3.56,4.91,2.66,3.42,3.74,6.49,2.7,4.28,1.25,2.36,2.84,2.99,5.23,5.3,3.28,1.8,4.48,4.06,2.38,3.93,4.53,2.93,3.5,2.49,2.24,2.86,4.31,4.14,2.92,3,1.69,2.78,4.92,4.47,2.45,4.28,1.02,4.84,4.24,3.79,5.73,4.22,2.07,3.73,5.73,4.09,3.89,4.1,5.29,4.44,5.05,2.84,2.25,7.48,5.04,5.53,5.77,4.23,3.88,3.76,3.83,3.66,4.09,4.81,4.55,4.39,1.88,6.61,3.66,2.82,6.44,3.17,1.56,4.38,6.04,6.47,5.54,4.76
August,,5.6,5.1,,,4.65,2.6,4.6,,3.4,7.5,,,,,,,,3,5.6,4.5,0.9,3.8,4.6,4.4,9,,,0.8,3.72,4.87,5.75,6.75,,1.75,4.44,3.4,5.4,5.59,5.17,5.73,9.15,2.5,5.7,1.09,5.28,3.53,6.25,3.15,3.86,2.95,3.44,3.53,6.97,3.64,5.71,7.86,3.65,5.32,6.43,2.72,6.66,6.73,1.72,6.21,5.85,2.9,9.03,5.52,4.95,6.77,6.65,2.97,2.18,9.12,4.8,4,2.06,4.95,2.88,3.79,3.71,4.05,2.93,7.07,7.83,3.41,8.27,4.27,4.27,4.46,7.14,5.66,7.92,5.43,2.91,1.81,3.84,5.57,2.71,3.3,4.34,3.2,1.85,2.89,5.71,6.95,7.55,4.62,3.03,3.21,0,8.04,4.96,5.34,5.48,4.78,3.69,5.85,1.22,5.15,4.04,5.13,1.45,3.44
September,8.8,3.9,4.6,,7,5.35,3,1.75,3,5.85,3.4,,,,,,,,3.6,1.8,3,2.7,4.8,5.8,2.2,6.6,3.4,6.7,7.2,1.37,6.62,5.55,2.79,,4.91,2.02,9.45,7.32,8.2,6.19,3.34,2.52,7.9,7.05,4.63,3.34,4.53,3.66,3.8,8.46,7.43,4.81,1.85,2.15,6.17,6.4,6.15,3.93,0.24,2.09,6.22,3.69,6.29,5.54,5.58,5.23,4.37,5.26,6.63,3.32,2.53,1.92,8.54,3.45,1.99,2.56,3.33,2.69,2.67,1.53,1.22,4.02,8.05,4.71,3.68,3.41,2.96,9.15,6.41,3.91,3.39,7.11,5.52,2.01,4.34,1.98,6.76,1.2,7.05,7.42,4.88,4.29,5.18,2.07,5.28,2.19,6.74,3.93,6.16,6.45,9.42,6.92,7.34,2.8,9.86,3.5,4,6.04,5.4,4.98,5.74,3.19,5.1,1.33,3.6
October,3.6,9.3,6.9,,1.9,6.8,1.55,6.6,3,8.3,6.7,,,,,,,,6.8,7.1,2.7,5.4,6.8,4.7,7.1,4.6,,4.5,4.2,5.2,4.35,6.6,7.05,,5.73,4.02,4.84,8.76,12.14,5.45,8.15,8.39,7.29,3.59,0.63,2.85,4.9,6.83,5.84,4.38,4.21,3.22,2.98,4.38,4.39,5,5.01,6.77,4.57,4.12,5.22,2.87,4.84,5.52,7.29,5.27,4.7,9.48,2.92,3.77,4.32,7.61,2.42,8.47,3.37,4.52,7.01,2.96,1.82,2.39,8.52,9,6.81,1.04,1.85,6.26,2.79,7.96,4.13,4.18,7.86,8.27,9.93,7.82,9.34,5.19,8.48,3.66,8.43,11.74,7.21,4.18,11.27,2.55,6.34,5.08,7.2,11.21,7.01,7.77,0.54,3.94,7.29,7.35,5.25,1.44,6,4.11,9.7,3.75,3.85,5.1,5.39,7.16,3.6
