CRANLEIGH-COUNTY-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ054401,Long,-0.49436,Lat,51.15057,Elevation,232,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.04,4.4,2.06,0.84,2.46,0.63,2.96,3.45,1.26,0.93,2.68,4.93,1.41,5.27,0.88,1.58,1.15,2.5,1.28,2.16,2.62,0.68,,,,,
February,,,,3.17,1.83,0.21,0.73,2.94,0.98,2.84,,2.41,1.55,1.79,3.54,0.6,2.28,1.36,0.91,0.47,3.52,1.63,1.55,0.76,2.98,,,,,
March,,,,0.32,1.37,1.83,3.39,3.95,1.59,0.52,0.46,1.98,1.69,2.93,1.2,3.9,1.39,1.03,2.93,3.5,1.39,2.04,3.1,2.08,3.8,,,,,
April,,,,0.13,2.44,1.86,0.58,1.5,1.05,2.8,0.49,2.41,0.96,2.34,1.25,1.13,0.66,3.85,2.66,2.13,1.64,1.9,0.07,2.83,0.98,,,,,
May,,,,0.72,1.9,0.37,0.5,1.41,3.78,1.31,0.7,0.64,2.16,3.14,3.36,0.52,1.44,1.9,2.42,1.89,2.36,1.13,1.13,2.16,0.93,,,,,
June,,,,0.84,2.71,0.24,4.06,1.63,1.5,1.39,2.77,1.83,3.71,4.34,0.65,5.1,1.94,1.79,3.32,3.27,2.76,2.56,2.45,0.55,0.65,,,,,
July,,,,3.37,5.42,4.96,1.05,2.66,0.55,1.39,1.08,1.51,1.19,3.35,0.92,0.53,0.73,1.58,2.59,2.42,2.4,1.13,1.8,2.16,1.63,,,,,
August,,,,0.99,2.2,2.15,2.27,3.21,1,0.62,3.12,1.85,3.32,5.31,1.9,3.2,0.76,2.47,4.98,2.7,2.96,0.9,5.23,2.17,1.1,,,,,
September,,,,1.28,2.07,0.79,6.14,2.1,1.13,3.49,0.92,2.5,0.67,3.91,1.77,1.9,1.57,0.87,1.5,2.91,0.57,1.68,2.72,2.83,0.82,,,,,
October,,,,3.83,4.62,3.1,3.55,0.51,3.48,2.08,2.31,2.53,2.11,7.94,2.18,1.99,4.14,5.9,2.71,6.19,3.34,4.32,2.24,4.49,1.38,,,,,
November,,,,2.7,4.31,4.61,1.41,1.04,3.84,5.16,2.86,0.69,2.83,2.09,1.45,3.67,5.3,2.99,1.04,0.54,3.38,3.67,1.97,2.6,2.66,,,,,
December,,,,2.43,2.18,2.81,3.81,3.53,2.96,1.42,3.37,4.33,1.27,2.38,3.28,0.64,2.16,2.96,3.25,4.11,3.69,5.49,2.46,1.82,6.52,,,,,
Total,,,,21.82,35.45,24.99,28.33,26.94,22.49,25.98,,23.94,22.39,42.2,26.43,24.59,27.64,27.58,29.89,31.28,30.51,27.73,26.88,27.07,24.13,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School in large grounds NGR is near school at correct elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Feb Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Not printed Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
