HALIFAX CASTLE CARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE024301,Long,-1.96507,Lat,53.767242,Elevation,1060,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,
January,,,,,,,,,,1.12,0.52,0.62,3.2,4.1,5.96,2,5.4,2.18,1.96,1.84,4.39,2.37,2.87,1.12,3.77,4.05,1.51,2.27,3.39,6.07,5.52,3.19,2.94,3.99,4.45,2.27,6.19,2.01,3.67,2.42,4.47,2.12,5.26,4.65,3.76,5.51,3.21,2.17,3.21,4.13,3.41,7.69,3.56,3.51,3.17,4.2,4.18,3.98,10.2,1.61,6.18,5.24,4.67,2.47,3.7,2.3,5.02,4.99,5.63,6.69,2.91,4.09,5.89,6.07,6.21,4.72,4.79,4.61,10.5,2.6,3.37,4.58,5.46,1.39,4.3,2.27,6.84,3.82,4.17,3.55,7.43,,,,,,,
February,,,,,,,,,,3.32,3.49,5.29,3.25,2.51,3.5,3.63,0.84,0.96,1.96,2.04,1.03,0.71,2.37,3.68,5.32,0.79,1.88,2.43,3.6,1.67,4.59,2.19,1.58,5.14,5.16,2.46,3.51,2.83,3.35,2.57,4.54,4.71,2.31,2.26,2.65,4.47,4.94,0.99,4.57,1.45,2.7,0.31,4.02,6.54,1.46,7.36,4.03,1.85,5.54,0.85,1.63,5.58,0.57,5.43,0.6,6.48,3.24,5.96,2.07,4.29,2.46,6.13,2.32,3.02,2.67,5.16,6.42,4.01,3.82,3.35,6.61,3.49,1.69,3.54,3.75,3.38,2.31,3.68,8.31,0.69,3.93,,,,,,,
March,,,,,,,,,,2.23,2.79,4.44,3.85,1.02,2.39,2.74,2.53,2.57,4.57,3.13,3.47,2.41,1.11,0.99,3.21,3.01,4.68,4.34,1.96,2.16,1.29,3.56,2.52,5.83,2.83,3.23,3.45,4.29,4.08,3.26,0.97,2.29,4.39,5.59,4.95,1.49,4.36,2.72,1.58,3.77,2.88,2.56,2.94,2.54,1.36,1.87,2.5,4.44,3.09,0.69,2.73,0.72,2.49,2.65,3.39,1.99,2.89,3.28,1.96,3.73,3.54,6.06,3.19,1.33,0.86,1.21,2.23,7.95,1.94,2.28,2.63,4.98,2.54,2.09,2.99,3.33,2.1,3.33,3.02,1.61,2.8,,,,,,,
April,,,,,,,,,,3.15,2.21,2.11,5.62,3.3,2.68,2.67,3.31,1.29,3.92,3.88,1.63,2.43,1.24,1.15,2.85,2.54,1.89,2.86,3.9,3.77,2.04,3.14,2.73,2.44,2.94,3.54,1.84,3.48,3.02,3.81,4.81,2.22,1.19,4.66,1.32,1.57,2.9,1.28,1.1,1.7,6.15,1.62,4.14,3.14,2.5,3.15,2.05,4.27,1.39,1.74,4.17,4.76,3.85,2.1,3.4,4.46,2.46,3.36,0.7,2.26,5.88,3.6,1.8,2.6,3.84,2.82,1.9,5.05,2.86,4.13,4.16,2.16,2.58,3.14,0.5,1.72,4.07,0.43,1.4,4.33,2.86,,,,,,,
May,,,,,,,,,,1.87,3.06,2.6,1.71,1.39,1.71,3.53,5.49,2.51,0.95,2.55,3.43,4.4,3.97,2.39,2.43,0.93,0.57,1.55,3.4,3.19,1.94,1.64,3.99,4.89,3.45,0.9,3.64,3.58,2.41,2.9,2.84,1.47,3.49,3.6,1.85,2.5,2.82,2.43,3.36,1.87,4.79,2.33,0.98,4.42,5.33,4.9,4.42,1.57,2.42,2.55,2.32,3.51,5.58,2.81,2.59,1.31,1.9,2.7,4.4,1.97,1.47,3.05,3.95,3.17,3.49,3.79,1.94,4.61,1.13,3.33,2.21,4.46,2.02,2.25,3.82,3.31,1.7,1.34,5.63,2.11,2.56,,,,,,,
June,,,,,,,,,,6.5,4.69,2.08,4.85,3.66,1.42,4.13,2.1,0.38,2.62,0.99,3.86,1.94,4.46,3.08,3.34,2.84,3.18,4.01,3.23,2.12,4.27,1.37,1.86,1.95,1.32,2.14,1.68,5.51,2.14,2.72,3.55,3.83,7.62,2.51,3.37,0.7,2.68,2.2,1.68,1.51,3.06,0.15,2.08,0.86,2.92,0.03,3.15,3.86,6.71,1.62,1.83,6.5,0.75,2.41,2.1,4.29,5.06,3.02,4.58,3.2,0.78,0.44,1.66,3.59,3.23,4.37,3.32,2.78,5.63,0.64,1.51,1.3,3.01,3.75,2.06,2.96,4.09,2.71,6.35,2.46,1.28,,,,,,,
July,,,,,,,,,,6.19,5.69,4.48,4.4,4.35,4.34,1.55,5.22,2.41,5.77,3.71,2.84,3.53,2.89,3.55,3.78,6.91,2.57,1.55,1.33,2.23,2.98,2.29,3.48,4.74,2.17,2.53,3.05,2.96,4.75,5.34,4.26,0.86,7.2,1.77,3.64,5.43,2.72,1.74,3.67,3,8.29,1.95,4.79,4.11,4.2,1.42,3.49,3.18,1.18,2.24,7.63,4.61,3.68,2.26,4.17,1.71,4.37,2.82,5.36,7.71,4.09,1.6,3.76,2.63,4.63,2.27,4.47,2.12,1.79,3.44,3.75,3.36,2.15,4.63,4,0.57,6.79,4.7,4.5,2.18,5.78,,,,,,,
August,,,,,,,,,,4.7,2.68,5.8,2.89,2.32,1.74,1.55,1.71,2.21,3.71,5.44,7.05,7.29,4.29,2.83,4.43,4.15,1.97,4.07,5,1.54,6.61,2.79,4.11,4.98,5.1,5.75,4.83,3.22,3.6,3.68,5.24,2.3,7.74,1.53,2.64,5.91,3.12,5.88,2.94,3.18,1.93,5.26,6.52,5.41,4.91,3.88,3.73,8.01,5.12,3.7,6.27,4.91,1.59,1.77,3.87,1.4,2.95,2.26,6.41,3.21,1.89,5.98,5.2,5.14,3.41,4.94,6.98,0.35,4.39,3.62,5.7,4.07,4.56,4.98,9.11,1.02,9.86,6.08,4.36,1.01,5.33,,,,,,,
September,,,,,,,,,3.96,2.14,5.28,3.31,2.25,8.76,2.57,6.09,2.83,4.75,1.65,2.89,2.16,3.47,3.25,3.5,0.63,1.71,8.1,4.36,0.91,7.44,1.19,1.71,2.59,5.78,1.32,2.87,1.25,0.93,3.44,3.77,0.29,3.39,2.57,2.35,2.72,0.7,2.46,1.55,10.56,1.67,2.14,1.88,4.5,5.34,4.86,3.63,3.78,5.59,0.69,1.36,5.67,4.7,4.55,2.35,2.74,7.32,5.32,1.64,2.32,2.04,3.79,0.73,2.44,4.81,7.19,2.95,7.17,2.41,2.21,1.19,6.03,2.32,4.54,3.93,4.22,2.15,4.96,6.16,4.84,0.51,3.3,,,,,,,
October,,,,,,,,,4.14,2.49,6.33,4.73,5.26,5.28,3.16,8.17,6.81,2.97,1.59,5.34,2.98,4.83,7.75,3.89,6.37,4.14,5.61,2.08,6.37,4.05,4.93,3.34,4.86,11.61,1.89,3.72,7.48,6.88,2.78,4.83,3.79,4.41,4.93,2.82,3.08,1.82,7.45,6.27,2.6,3.81,2.87,3.02,1.31,5.11,4.54,5.62,4.24,4.66,6.14,5.03,6.18,2.7,7,5.63,5.15,9.64,4.42,2.8,8.87,3.88,4.96,4.97,5.69,2.88,4.65,5.94,1.41,1.54,2.6,4.32,2.18,1.55,5.61,2.69,7.86,2.8,2.61,5.23,3.93,4.07,7.64,,,,,,,
