ISLAY (MCARTHUR'S HEAD),,,,,,,,,,,,
Grid ref,NR462597,Long,-6.047463,Lat,55.763869,,,,,,,
Station no,5442,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.08,7.38,2.89,5.93,4.80,5.41,8.55,6.64,1.62,2.94,,
February,3.81,3.14,4.03,6.15,6.12,1.81,3.06,3.93,0.85,3.81,,
March,3.40,3.85,2.39,5.08,1.68,2.08,7.39,1.44,2.34,2.94,,
April,3.99,1.95,3.05,2.25,3.65,2.25,2.28,2.48,3.71,4.61,,
May,1.14,1.39,3.26,3.58,3.59,4.13,3.17,3.17,1.11,1.96,,
June,2.83,4.31,2.55,4.35,4.75,3.89,2.62,2.69,3.56,1.91,,
July,3.82,3.93,6.39,5.03,0.25,5.76,5.15,3.37,4.45,4.85,,
August,4.53,5.02,5.93,4.48,1.54,4.71,3.13,5.17,1.72,3.05,,
September,3.78,4.16,7.50,8.75,6.82,4.45,4.00,4.16,1.39,3.16,,
October,3.12,4.66,3.78,8.08,5.17,3.97,6.35,5.95,5.66,3.76,,
November,7.55,2.70,9.01,10.03,2.17,3.44,1.68,3.62,5.53,3.57,,
December,7.92,5.85,5.05,6.34,5.10,7.05,3.15,3.97,6.33,5.01,,
Total,51.97,48.34,55.83,70.05,45.64,48.95,50.53,46.59,38.27,41.57,,
Calc annual,51.97,48.34,55.83,70.05,45.64,48.95,50.53,46.59,38.27,41.57,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
