Rainfall at,ISLAY, MCARTHURS HEAD
,
Station no,5442,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.33,10.68,5.87,8.79,9.24,5.52,8.62,10.05,13.73,2.95,9.61,
February,4.46,2.67,9.48,5.90,2.57,5.22,8.34,4.06,5.47,3.79,0.57,
March,4.45,7.65,2.38,3.56,1.26,2.78,6.79,3.94,4.44,1.18,4.42,
April,3.09,1.70,3.04,3.96,4.15,6.63,3.39,5.77,2.13,2.48,3.09,
May,5.40,1.99,4.65,2.77,5.32,7.62,4.54,3.85,1.77,3.95,2.82,
June,1.51,1.40,3.34,3.70,4.70,1.47,2.87,4.92,6.47,4.43,4.53,
July,5.15,1.89,3.93,4.53,5.22,3.25,4.89,4.29,5.43,4.74,2.77,
August,5.52,3.23,4.49,6.42,5.06,4.18,5.80,3.39,6.86,8.21,8.71,
September,4.24,3.36,3.27,9.65,6.46,4.32,5.21,7.01,5.62,2.90,3.74,
October,3.14,6.00,1.59,9.88,4.16,6.41,8.63,6.48,10.25,10.89,11.51,
November,8.71,5.15,6.12,6.29,6.51,3.15,8.88,6.84,10.95,10.24,9.48,
December,5.27,10.24,4.53,10.17,7.62,4.27,5.89,1.01,9.44,15.97,8.86,
Total,57.27,55.96,52.69,75.62,62.27,54.82,73.85,61.61,82.56,71.73,70.11,
Calc annual,57.27,55.96,52.69,75.62,62.27,54.82,73.85,61.61,82.56,71.73,70.11,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
