ISLAY MCARTHURSHEAD,,,,,,,,,,,,
Grid ref,NR462597,Long,-6.047463,Lat,55.763869,,,,,,,
Station no,5442,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.09,6.46,8.75,9.05,13.25,7.39,6.24,3.90,6.30,8.02,,
February,4.54,3.18,5.70,10.15,4.67,3.52,2.50,6.00,7.80,4.36,,
March,0.85,4.14,11.60,8.90,2.86,5.97,6.00,7.60,6.10,1.87,,
April,5.65,7.22,6.95,4.60,13.38,2.53,1.80,3.20,1.90,4.33,,
May,4.34,3.30,10.20,5.55,6.12,1.70,8.65,5.80,2.90,2.02,,
June,6.30,7.61,4.41,2.30,2.58,0.39,0.67,8.30,3.44,1.87,,
July,7.83,0.80,6.20,6.90,10.69,4.11,4.25,3.80,5.12,6.05,,
August,5.55,6.90,5.40,7.05,7.03,5.94,7.92,7.50,5.78,4.45,,
September,7.68,5.00,8.05,4.55,8.23,2.05,3.20,2.40,6.75,2.20,,
October,9.21,6.88,7.60,12.22,16.56,5.23,9.30,4.80,2.11,9.16,,
November,9.80,8.95,5.09,9.74,7.35,5.72,7.30,6.30,5.54,5.33,,
December,12.92,8.25,7.80,7.25,11.06,5.79,8.60,8.50,9.10,7.11,,
Total,85.76,68.69,87.75,88.26,103.78,50.34,66.43,68.10,62.84,56.77,,
Calc annual,85.76,68.69,87.75,88.26,103.78,50.34,66.43,68.10,62.84,56.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
