ISLAY (MCARTHUR'S HEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR462597,Long,-6.047463,Lat,55.763869,Elevation,173,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,9.8,7.7,5.1,7.3,12.5,5.8,8.2,6.4,4.1,2.17,1.38,9.99,1.74,8.48,5.6,11.35,9.19,3.87,5.7,2.18,6.8,9.18,11,7.3,9.8,5.85,6.1,10.4,4.8,2.41,4.19,2.97,6.06,2.32,2.41,1.8,2.96,3.81,11.09,6.46,8.75,9.05,13.25,7.39,6.24,3.9,6.3,8.02,9.18,5.78,4.59,7.95,4.6,6.64,7.58,3.26,6,7.07,6.33,10.68,5.87,8.79,9.24,5.52,8.62,10.05,13.73,2.95,9.61,9.07,10.28,6.05,8.97,5.79,3.89,6.62,8.02,3.67,3.26,0.98,9.15,3.65,7.22,6.85,6.9,3.25,7.84,6.44,5.64,6.08,7.38,2.89,5.93,4.8,5.41,8.55,6.64,1.62,2.94
February,,,3.9,4.8,4,5.2,8.7,7.9,11,6.9,4.5,1.77,1.08,0.6,3.4,2.6,8.4,8.89,2.58,4.68,4.87,9.21,3.7,6.05,4.95,8.1,4.1,5.25,3.75,6.9,0.46,1.23,2.23,5.01,8.98,0.03,3.72,3.37,4.25,2.81,4.54,3.18,5.7,10.15,4.67,3.52,2.5,6,7.8,4.36,10.33,9.07,4.91,5.69,9.92,5.42,6.92,1.64,8.81,1.64,4.46,2.67,9.48,5.9,2.57,5.22,8.34,4.06,5.47,3.79,0.57,8.48,0.09,6,1.36,6.64,4.29,6.26,4.23,5.84,3,4,3.2,4.8,2.35,6.94,5.46,0.25,3.12,5.32,6.2,3.81,3.14,4.03,6.15,6.12,1.81,3.06,3.93,0.85,3.81
March,,,3.7,4.5,6.4,5,4,1.9,10,2.1,2.4,0.99,1.07,3.19,2.56,3.1,4.9,3.74,4.58,4.44,4.54,8.07,5.1,2.65,9.15,4.2,4.87,3.2,4.85,4.65,2.71,3.78,1.4,1.89,5.32,4.18,6.91,3.97,2.26,3.27,0.85,4.14,11.6,8.9,2.86,5.97,6,7.6,6.1,1.87,3.29,2.48,7.25,8.98,6.2,4.54,2.72,3.2,3.25,5.19,4.45,7.65,2.38,3.56,1.26,2.78,6.79,3.94,4.44,1.18,4.42,2.07,4.33,3.59,4.43,2.28,5.14,1.96,3.58,3.74,4,2.81,4.82,3.36,1.3,4.67,3.62,3.46,4.41,3.57,2.68,3.4,3.85,2.39,5.08,1.68,2.08,7.39,1.44,2.34,2.94
April,,,4.5,4.2,5,2,2.5,9.2,4.2,3.3,0.46,0.73,0.29,0.7,6.03,1.85,2.05,3.07,3.75,2.14,4.25,1.42,1.22,2.9,1.55,3.2,1.98,3.55,2.5,3.4,1.23,0.72,1.57,2.28,1.76,0.81,2,1.64,2.86,4.28,5.65,7.22,6.95,4.6,13.38,2.53,1.8,3.2,1.9,4.33,5.37,4.75,3.76,4.7,4.39,4.31,5.51,3.03,1.72,4.43,3.09,1.7,3.04,3.96,4.15,6.63,3.39,5.77,2.13,2.48,3.09,2.75,6,4.14,3.01,4.72,2.04,4.21,0.3,2.21,3.71,1.65,3.42,3.61,3.76,0.86,3.87,4.52,2.89,5.29,3.41,3.99,1.95,3.05,2.25,3.65,2.25,2.28,2.48,3.71,4.61
May,,,6.3,4.5,2.5,3.7,2.1,3.6,5.6,1,0.97,0.17,0.48,0.3,1.08,3.7,1.4,2.59,4.04,3.3,1.88,4.15,2.32,3.83,5.4,2.5,3.45,1.65,6.85,2.75,1.42,1.66,4.9,0.98,3.88,0.15,1.27,2.82,2.54,2.62,4.34,3.3,10.2,5.55,6.12,1.7,8.65,5.8,2.9,2.02,4.38,4.59,1.98,2.72,3.88,1.33,4.17,5.4,2.82,2.83,5.4,1.99,4.65,2.77,5.32,7.62,4.54,3.85,1.77,3.95,2.82,3.6,4.04,4.19,4.15,1.39,2.82,1.93,2.8,1.3,2.05,1.76,2.52,0.68,4.51,5.07,1.48,4.36,0.99,2.21,1.86,1.14,1.39,3.26,3.58,3.59,4.13,3.17,3.17,1.11,1.96
June,,,4.2,5.7,2.8,0.7,2.6,3.5,2.5,1.6,0.9,0.33,11.6,0.3,0.93,2.9,5.95,6.32,6.08,4.9,3.11,5.95,4.9,6,0.85,1.59,1.49,1.3,6.8,0.85,6.62,1.3,3.26,0.48,2.47,0.28,3.63,4.01,2.53,2.64,6.3,7.61,4.41,2.3,2.58,0.39,0.67,8.3,3.44,1.87,2.62,1.92,6.58,3.88,2.15,2.28,1.65,2.24,2.72,3.98,1.51,1.4,3.34,3.7,4.7,1.47,2.87,4.92,6.47,4.43,4.53,6.26,2.63,3.63,2.99,3.41,1.71,3.99,5.16,3.38,2.14,2.3,2.73,4.18,4.4,4.06,5.17,6.53,2.74,0.86,2.18,2.83,4.31,2.55,4.35,4.75,3.89,2.62,2.69,3.56,1.91
July,,,7.8,0.5,3.2,3.5,5.7,4.3,1.5,3.2,0.98,0.96,2.3,2.52,5.19,1.35,2.15,5.08,1.29,6.58,3.02,5.95,6.45,1.55,2.85,1.5,4.25,3.55,3.8,0.5,3.2,0.97,4.12,2.51,3.93,0.76,4.04,2.29,1.56,3.41,7.83,0.8,6.2,6.9,10.69,4.11,4.25,3.8,5.12,6.05,3.59,4,4.34,1.8,2.98,4.78,1.81,0.17,4.08,1.84,5.15,1.89,3.93,4.53,5.22,3.25,4.89,4.29,5.43,4.74,2.77,5.33,5.82,3.24,2.2,5.11,3.46,7.17,2.65,7.1,3.64,3.94,4.24,2.16,4.16,3.52,5.84,6.48,5.86,1.43,5,3.82,3.93,6.39,5.03,0.25,5.76,5.15,3.37,4.45,4.85
August,,,2.6,5.6,5.3,6.5,9.2,5.3,8.1,1.8,0.34,0.51,6.5,4.56,5.18,4.55,3.85,5.67,3.07,7.41,2.81,3.25,3.6,8,5.45,0.5,3.05,3,8.25,2.25,3.78,5.24,4.11,0.82,2.46,1.08,2.99,4.1,5.54,1.25,5.55,6.9,5.4,7.05,7.03,5.94,7.92,7.5,5.78,4.45,7.54,4.01,4.09,2.79,6.04,1.65,3.73,4.15,5.01,4.58,5.52,3.23,4.49,6.42,5.06,4.18,5.8,3.39,6.86,8.21,8.71,1.56,3.55,5.26,4.55,3.68,3.19,4.68,4.11,2.17,3.11,4.5,7.31,7.84,3.45,2.65,4.36,0,5.17,5.3,6.12,4.53,5.02,5.93,4.48,1.54,4.71,3.13,5.17,1.72,3.05
September,,0.62,2.4,9.4,8.7,1.7,9.9,4.8,2.5,11.6,1.15,0.6,11.2,1.36,9.66,3.45,3.2,2.62,6.75,9.19,3.31,4.6,7.55,4.15,3.9,8.96,7,4.3,3.7,1.45,4.89,6.74,5.67,4.07,0.25,0.89,3.8,2.68,4.67,5.34,7.68,5,8.05,4.55,8.23,2.05,3.2,2.4,6.75,2.2,1.61,3.76,4.01,2.7,4.36,1.55,0.96,8.2,9.41,5.77,4.24,3.36,3.27,9.65,6.46,4.32,5.21,7.01,5.62,2.9,3.74,2.44,4.14,0.91,8.4,8.98,6.05,4.08,4.37,5.87,4.74,2.97,9.8,5.76,7.99,5.53,6.53,4.92,8.26,3.48,10.76,3.78,4.16,7.5,8.75,6.82,4.45,4,4.16,1.39,3.16
October,,0.44,9.3,7.1,3.4,6.7,4.4,11.4,9.2,4.2,0.8,1.31,11.1,5.55,10.07,7.4,6.75,9.85,9.82,3.57,0.91,3.15,5,7.7,6.6,5,4.4,2.6,5.8,2.75,5.99,4.36,3.24,4.74,2.22,1.49,2.82,3.19,3.34,4.13,9.21,6.88,7.6,12.22,16.56,5.23,9.3,4.8,2.11,9.16,2.78,3.59,8.03,5.36,4.09,3.35,9.85,13.98,7.93,2.69,3.14,6,1.59,9.88,4.16,6.41,8.63,6.48,10.25,10.89,11.51,8.08,7.08,4.98,13.51,16.41,7.27,4.59,11.16,1.76,7.96,4.81,6.13,8.43,7.26,3.98,0.85,2.64,8.96,7.02,8.92,3.12,4.66,3.78,8.08,5.17,3.97,6.35,5.95,5.66,3.76
