"HIGHAM OAKLEIGH",,,,,,,,,,,,
Grid ref,TQ727742,Long,0.483490,Lat,51.440466,,,,,,,
Station no,RR4517,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.23,0.35,0.37,1.81,2.10,0.81,2.62,0.67,0.81,0.70,,
February,3.17,0.63,1.05,1.27,2.00,0.62,1.48,0.98,0.78,0.76,,
March,0.81,1.89,1.00,1.19,1.02,1.63,0.84,0.60,1.78,2.46,,
April,1.23,1.12,0.49,1.62,0.78,1.81,0.44,2.04,2.26,1.33,,
May,1.00,0.75,2.17,2.00,1.46,0.97,1.45,1.99,1.10,1.16,,
June,1.93,0.51,2.09,5.46,0.84,3.79,1.62,1.99,0.93,2.23,,
July,1.28,2.29,1.49,4.69,2.80,0.34,1.53,0.90,2.53,3.04,,
August,1.47,1.24,2.34,2.80,1.30,1.88,0.39,1.78,3.38,2.21,,
September,0.64,0.72,0.63,1.49,0.93,2.05,1.52,0.34,1.60,2.61,,
October,1.57,1.38,1.36,3.35,1.62,1.29,3.92,3.34,1.53,3.13,,
November,2.14,0.45,1.30,1.86,1.22,2.79,3.81,1.71,0.82,0.80,,
December,1.70,2.53,0.83,1.41,2.36,0.49,1.29,2.31,1.67,2.62,,
Total,19.17,13.86,15.12,28.95,18.43,18.47,20.91,18.65,19.19,23.05,,
Calc annual,19.17,13.86,15.12,28.95,18.43,18.47,20.91,18.65,19.19,23.05,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
