MENSTRIE (LIPNEY FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS847973,Long,-3.857771,Lat,56.154396,Elevation,328,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5460/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.63,1.44,1.97,3.65,4.64,3.58,2.73,3.72,5.46,6.47,3.29,2.11,4.22,2.11,1.08,3.6,1.93,2.22,5.53,2.84,1.32,2.65
February,,,,,,,,,4.31,1.45,4.12,1.47,2.65,1.1,5.08,2.97,0.86,4.51,3.38,3.28,2.78,0.67,0.91,3.27,1.88,1.73,3.3,1.42,0.81,2.28
March,,,,,,,,,3.51,2.34,2.59,2.52,1.52,0.27,,2.28,4.37,2.16,1.17,2.75,2.64,2.97,1.31,3.1,1.2,2.3,3.2,1.22,2.24,2.42
April,,,,,,,,,1.53,3.72,1.44,2.28,1.92,2.16,,0.61,4.64,2.5,2.16,2.54,2.65,1.41,2.01,1.23,1.15,0.7,1.41,1.17,2.98,2.79
May,,,,,,,,,1.89,1.98,3.42,2.91,5.58,1.81,,1.42,3.71,2.6,2,1.34,1.25,1.73,1.73,5.96,2.6,1.55,1.91,2.94,1.57,2.91
June,,,,,,,,,1.91,0.36,0.84,1.62,2.77,2.2,,2.96,4.28,4.86,1.34,1.87,2.25,2.34,1.76,2.21,1.45,4.06,2.26,2.95,1.42,1.81
July,,,,,,,,,4.82,4.36,3.37,1.84,1.95,3.18,4.45,4.47,4.16,2.82,1.94,6.01,4.21,2.54,4.32,2.28,0.86,4.87,4.37,5.99,6.04,2.93
August,,,,,,,,,2.08,1.43,3.95,4.31,4.29,2.59,2.51,4.6,0.01,6.19,3.38,4.82,5.13,4.92,1.73,4.79,1.05,4.96,3.87,3.81,0.91,4.28
September,,,,,,,,,2.98,2.77,1.56,4.65,2.99,3.21,6.21,5.26,3.64,4.99,1.24,9.29,3.22,1.57,5.49,4.18,2.76,4.98,1.38,4.12,0.99,2.32
October,,,,,,,,,2.91,3.36,4.54,4.01,6.84,4.47,,0.34,1.73,4.56,7.09,2.27,0.84,3.13,1.46,7.79,3.09,3.12,2.66,3.16,2.54,3.98
November,,,,,,,,,6.34,5.77,2.76,0.49,2.6,7.08,,6.47,3.32,2.34,2.88,2.74,5.44,1.99,5.14,5.89,1.95,0.77,2.24,1.56,6.26,4.31
December,,,,,,,,,2.39,3.4,2.47,4.05,1.35,4.73,3.48,3.33,1.61,5.2,5.49,1.62,3.73,3.7,4.2,5.03,6.71,4.25,4.52,5.53,5.38,3.71
Total,,,,,,,,,38.3,32.38,33.03,33.8,39.1,36.38,,38.43,37.79,49.2,35.36,40.64,38.36,29.08,31.14,49.33,26.63,35.51,36.65,36.71,32.46,36.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Months deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
