LIMPSFIELD-THE-CHART,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ423519,Long,0.03796,Lat,51.24853,Elevation,570,ft,,,,,,,,,,,,
Station no,70/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.26,1.16,5.13,5.48,3.37,4.55,2.7,2.66,3.32,6.12,2.14,2.66,2.47,2.71,3.67,,
February,,,,0.25,3.71,1.94,4.42,1,1.57,2.47,3.09,1.03,1.93,1.11,2.05,2.72,0.95,2.49,,
March,,,,2.4,0.41,1.32,3.55,0.56,1.63,2.73,3.42,2.45,0.45,0.06,1.21,1.27,3.58,0.9,,
April,,,,2.43,3.42,2.7,3.29,0.46,2.64,1.65,,1.65,1.16,1.74,1.06,3.24,1.81,1.85,,
May,,,,0.69,1.74,0.49,2.11,2.85,1.48,1.76,1.96,3.29,2.56,0.73,2.49,3.33,1.77,1.86,,
June,,,,1.6,2.92,2.99,2.22,0.64,0.87,0.32,1.96,0.15,1.42,1.92,1.78,2.6,2.56,3.04,,
July,,,,1.39,0.69,3.93,0.79,1.71,2.53,3.09,2.5,2.31,1.92,1.86,3.31,2.2,1.13,1.71,,
August,,,,1.84,3.64,0.54,1.79,1.52,2.22,0.11,4.95,2.96,1.05,3.19,2.06,4.37,0.21,4.89,,
September,,,3.28,1.68,3.76,1.82,2.16,2.5,1.19,1.46,0.75,2.41,2.41,2.91,1.6,3.53,1.29,1.1,,
October,,,1.83,2.31,4.1,2.13,3,3.16,7.38,3.66,1.27,3.8,3.36,4.81,2.9,1.18,0.31,2.13,,
November,,,1.04,3.83,6.11,4.41,1.69,3.3,5.93,7.75,3.27,1.81,2.2,4.71,0.74,4.49,1.43,1.2,,
December,,,0.6,6.23,3.77,2.72,4.49,3.81,1.6,1.88,2.6,3.05,2.09,2.43,3.68,2.64,2.97,3.74,,
Total,,,,26.91,35.43,30.12,34.99,24.88,33.59,29.58,,28.23,26.67,27.61,25.54,34.04,20.72,28.58,,
,,,,,,,,,,,,,,,,,,,,
Highlands The Chart,,,,,,,,,,,,,,,,,,,,
Gauge from Devon Stn No 6206,,,,,,,,,,,,,,,,,,,,
Gauge originally allocated to incorrect River Basin Stn No 68/4,,,,,,,,,,,,,,,,,,,,
1941 Station renumbered to correct River Basin Stn No 70/4,,,,,,,,,,,,,,,,,,,,
1941 Apr Part estimated,,,,,,,,,,,,,,,,,,,,
1947 Not printed Low,,,,,,,,,,,,,,,,,,,,
1948 Dec Station terminated due to observers failing health,,,,,,,,,,,,,,,,,,,,
