ANNALONG (BELFAST W. W) New Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ355225,Long,-5.92744,Lat,54.13381,Elevation,435,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6197/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.06,9.1,4.53,9.36,6.63,4.88,3.15,5.16,3.84,11.85,3.1,1.67,4.77,4.56,1.58,3.37,5.88,4.17,4.7,4.8,3.53,6.32
February,,,,,,,,,4.72,5.39,4.41,1.95,1.82,1.59,4.99,2.79,2.02,3.49,1.81,6.02,3.04,0.61,2.1,5.68,5.12,1.39,3,5.91,1.36,3.52
March,,,,,,,,,3.9,5.56,3.68,6.69,0.83,0.49,2.23,3.64,10.03,2.71,3.14,2.93,4.15,3.54,0.55,4.34,2.22,2.07,6.68,2.17,3.9,5.21
April,,,,,,,,,2.65,5.93,2.97,2.98,2.19,3.57,1.96,1.27,4.29,3.4,3.24,5.55,2.7,2.05,2.7,0.98,3.17,1.29,1.52,1.65,3.41,3.2
May,,,,,,,,,0.61,1.66,3.17,5.27,4.95,1.83,4.07,1.14,4.65,3.77,1.51,1.62,2.9,2.05,2.08,6.87,3.99,1.45,6.61,5.52,1.96,2.05
June,,,,,,,,,2.54,0.93,0.37,0.61,5.53,2.61,5.38,3.76,4.51,4.61,0.66,1.62,2.46,3.38,2.22,3.63,6.69,2.94,2.02,7.47,2.27,3.32
July,,,,,,,,,4.76,4.18,3.57,2.6,3.19,4.56,3.97,3.07,4.24,3.46,4.91,4.7,3.33,1.47,6.53,4.01,2.38,3.59,5.39,4.49,2.54,7.57
August,,,,,,,,,2.18,0.65,4.28,7.85,6.94,4.01,2.38,4.76,0.62,6.27,5.51,6.74,5.84,3.53,4.86,4.01,1.58,7.12,5.81,8.03,0.91,4.96
September,,,,,,,,,4.54,2.81,2.89,7.25,3.03,7.04,3.96,8.99,3.21,4.85,2.68,7.32,3.93,2.6,3.93,5.06,2.63,5.02,6.6,5.97,2.88,4.19
October,,,,,,,,,3,6.63,5.72,3.79,3.95,5.26,3.24,1.41,2.71,4.79,6.88,3.86,0.71,6.57,2.99,7.04,2.53,2.96,5.36,3.22,5.9,6.81
November,,,,,,,,,6.4,8.12,4.84,0.57,3.31,7.89,2.39,8.13,5.8,3.31,3.77,3.64,7.83,3.72,5.12,7.53,3.28,1.82,3.16,3.11,5.41,5.81
December,,,,,,,,,3.93,4.74,2.61,5.29,2.56,4.22,6.34,5.46,4.79,6.18,4.98,2.66,6.13,4.29,4.27,6.28,5.34,5.03,5.91,4.82,8.12,4.16
Total,,,,,,,,,47.29,55.7,43.04,54.21,44.93,47.95,44.06,49.58,50.71,58.69,42.19,48.33,47.79,38.37,38.93,58.8,44.81,38.85,56.76,57.16,42.19,57.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16478,ANNALONG VALLEY ,01/01/1923,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
continues on from old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
