"BELFAST WATER WORKS, ANNALONG VALLEY",,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ355225,Long,-5.92744,Lat,54.13381,Elevation,435,ft,,,,,,,,,,,,,
Station no,6197,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.35,5.87,3.43,7.02,3.29,8.49,4.12,7.95,4.19,5.1,3.3,5.51,1.59,5.48,4.41,4.85,,
February,,,,6.84,0.96,3.95,5.78,3.63,6.38,6.19,1.39,3.37,0.44,4.55,0.25,5.19,4.5,7.4,2.69,,
March,,,,2.61,2.35,1.04,2.04,4.66,5.31,1.52,4.4,4.16,2.83,5.12,2.34,1.28,4.14,5.68,1.51,,
April,,,,4.51,4.67,4.11,2.31,1.94,2.23,1.44,2.56,4.23,6.06,2.31,3.43,3.73,1.22,3.37,0.12,,
May,,,,1.94,5.62,6.22,1.99,1.97,1.48,2.59,3.42,6.04,6.29,3.47,3.2,1.36,1.52,1.17,3.75,,
June,,,,1.3,3.78,0.12,3,4.22,6.29,2.35,2.68,13.55,1.44,2.69,2.19,4.75,4.77,2.53,4.6,,
July,,,,3.44,6.25,2.9,2.68,3.96,3.56,3.85,4.65,3.43,4.53,3.59,1.29,0.96,7.87,5.14,7.31,,
August,,,,7.29,5.14,3.74,5.49,6.39,4.7,6.87,6.82,4.83,5.52,3.34,6.94,2.97,3.96,3.12,3.29,,
September,,,,3.52,7.48,4.2,2.37,5.19,3.07,0.5,6.38,5.19,3.48,1.14,6.93,6.41,6.88,3.22,4.22,,
October,,,,3.66,3.38,6.03,4.69,5.35,7.76,5.12,6.65,2.97,4.89,4.01,5.02,4.63,3.38,2.92,9.88,,
November,,,,4.58,4.24,2.34,6.47,5.48,7.49,6.51,7.51,8.57,2.94,1.6,2.51,7.2,4.02,2.47,5.53,,
December,,,,5.21,6.05,4.31,0.97,5.02,5.42,7.81,7.87,5.37,7.72,3.96,10.41,5.11,3.45,6.19,5.12,,
Total,,,,48.25,55.79,42.39,44.81,51.1,62.18,48.87,62.28,65.9,51.24,39.08,50.02,45.18,51.19,47.62,52.87,,
,,,,,,,,,,,,,,,,,,,,,
"1939 and 1940 incorrectly transcribed, belong to new gauge; deleted",,,,,,,,,,,,,,,,,,,,,
16478,ANNALONG VALLEY ,01/01/1923,Current ,,,,,,,,,,,,,,,,,,
location continues as new gauge,,,,,,,,,,,,,,,,,,,,,
