"ANNALONG (BELFAST WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ355225,Long,-5.927440,Lat,54.133810,,,,,,,
Station no,6197/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.77,4.56,1.58,3.37,5.88,4.17,4.70,4.80,3.53,6.32,,
February,3.04,0.61,2.10,5.68,5.12,1.39,3.00,5.91,1.36,3.52,,
March,4.15,3.54,0.55,4.34,2.22,2.07,6.68,2.17,3.90,5.21,,
April,2.70,2.05,2.70,0.98,3.17,1.29,1.52,1.65,3.41,3.20,,
May,2.90,2.05,2.08,6.87,3.99,1.45,6.61,5.52,1.96,2.05,,
June,2.46,3.38,2.22,3.63,6.69,2.94,2.02,7.47,2.27,3.32,,
July,3.33,1.47,6.53,4.01,2.38,3.59,5.39,4.49,2.54,7.57,,
August,5.84,3.53,4.86,4.01,1.58,7.12,5.81,8.03,0.91,4.96,,
September,3.93,2.60,3.93,5.06,2.63,5.02,6.60,5.97,2.88,4.19,,
October,0.71,6.57,2.99,7.04,2.53,2.96,5.36,3.22,5.90,6.81,,
November,7.83,3.72,5.12,7.53,3.28,1.82,3.16,3.11,5.41,5.81,,
December,6.13,4.29,4.27,6.28,5.34,5.03,5.91,4.82,8.12,4.16,,
Total,47.79,38.37,38.93,58.80,44.81,38.85,56.76,57.16,42.19,57.12,,
Calc annual,47.79,38.37,38.93,58.80,44.81,38.85,56.76,57.16,42.19,57.12,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
