"IONA MANSE, IONA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM284242,Long,-6.3948,Lat,56.3322,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5446/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,4.6,3.95,3.78,5.35,4.58,5.73,5.56,3.01,3.19,3.86,5.93,7.66,6.28,5.47,6.1,4.86,6.24,7.16,8.36,,
February,,,,,,,,,,,6.08,5.76,4.07,3.78,5.94,4.29,5.33,1.7,5.97,1.56,5.05,2.34,6.89,4.59,2.38,3.53,4.13,4.06,4.06,,
March,,,,,,,,,,,2.32,2.06,4.29,6.58,3.99,3.78,1.43,1.94,1.61,4.28,4.99,6.43,1.89,2.06,1.39,1.73,4.14,3,4.4,,
April,,,,,,,,,,,3.55,3.28,2.37,4.28,2.98,3.64,3.35,2.25,1.29,2.78,1.6,2.55,3.52,2.53,2.7,4.44,2.17,4.81,2.45,,
May,,,,,,,,,,,2.45,2.48,2.07,3.71,2.24,0.64,3.97,3.57,2.44,2.12,4.42,2.58,5.03,2.16,5.03,5.36,3.31,2.8,0.82,,
June,,,,,,,,,,,1.6,1.72,4.69,2.34,1.91,0.98,1.27,2.4,2.15,4.49,1.16,1.43,3.28,3.36,3.8,1.27,2.22,3.24,3.61,,
July,,,,,,,,,,,3.88,3.45,4.36,1.82,3.29,3.35,2.69,1.7,3.8,1.84,3.63,3.7,3.14,4.9,4.74,3.3,3.17,2.79,3.15,,
August,,,,,,,,,,2.76,6.51,3.07,3.37,2.1,3.85,1.8,3.69,3.33,4.7,5.04,3.85,4.03,3.32,6.4,4.93,3.31,3.42,3.36,3.48,,
September,,,,,,,,,,2.31,2.25,3.61,3.21,2.79,3.65,1.01,2.79,4.28,4.81,5.5,4.53,2.49,3.52,7.31,6.21,3.96,4.86,3.77,3.1,,
October,,,,,,,,,,5.52,2.43,3.06,6.22,3.7,3.12,3.07,7.98,9.05,6.4,2.62,4.15,4.48,3.44,9.04,4.19,2.97,6.81,5.95,7.04,,
November,,,,,,,,,,3.84,4.75,5.22,5.4,7.87,6.29,3.22,7,8.67,5.51,5.09,5.42,4.17,3.46,5.53,5.57,2.48,5.37,3.62,6.94,,
December,,,,,,,,,,5.62,4.82,7.73,8.91,4.39,7.42,6.31,4.89,3.45,5.96,6.1,5.06,7.22,5.2,7.28,6.46,3.84,4.05,0.42,6.68,,
Total,,,,,,,,,,,45.24,45.39,52.74,48.71,49.26,37.82,49.95,45.35,47.83,45.28,49.79,49.08,48.97,60.63,53.5,41.05,49.89,44.98,54.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1913 = 3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 total miscalculated on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
