WARMINSTER-SMALLBROOK-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST878447,Long,-2.1759977,Lat,51.201381,Elevation,420,ft,,,,,,,,,,,,,
Station no,1521,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,4.55,5.53,1.48,6.22,2.63,3.73,3.31,3.12,0.88,4.52,5.97,3.72,6.17,2.76
February,,,,,,,,4.6,2.61,1.02,0.9,2.33,0.05,4.71,0.16,3.22,2.51,6.06,0.93,1.89,2.55
March,,,,,,,,3.84,2.86,0.32,1.92,0.72,2.19,3.61,2.63,1.05,3.53,4.35,0.11,1.5,2.78
April,,,,,,,,1.67,1.38,0.96,1.9,2.4,3.51,1.18,2.09,4.66,2.05,2.67,0.09,2.92,2.14
May,,,,,,,,0.88,2.36,2.3,1.59,2.36,4.55,2.05,0.94,0.85,0.72,2.16,1.45,0.94,1.22
June,,,,,,,,3.48,2.64,1.27,1.01,3.11,1.65,0.75,1.4,3.63,3.34,1.45,1.01,2.23,1.02
July,,,,,,,,5.31,1.92,1.35,2.93,4.54,3.16,2.1,1.93,0.69,6.42,2.32,3.11,4.73,3.01
August,,,,,,,,4.03,2.33,1.61,3.09,4.74,0.89,1.55,2.67,2.02,0.45,0.83,3.63,3.15,0.12
September,,,,,,,,6.06,1.71,0.58,3.65,1.36,3.95,1.78,3.7,5.68,3.37,2.72,2.14,0.55,1.73
October,,,,,,,,2.35,4.95,4.89,2.17,0.77,6.07,2.59,2.34,5.09,2.01,4.93,4.66,3.13,4.25
November,,,,,,,,3.57,4.08,8.79,4.78,5.37,2.06,0.76,1.69,7.26,3.58,1.68,5.67,7.43,9.78
December,,,,,,,,4.01,3.43,9.6,3.77,1.22,1.86,0.76,8.78,4.3,3.58,3.43,4.45,2.67,2.19
Total,,,,,,,,44.35,35.8,34.17,33.93,31.55,33.67,25.15,31.45,39.33,36.08,38.57,30.97,37.31,33.55
