GODALMING-FILMER-GROVE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU971444,Long,-0.61161,Lat,51.19094,Elevation,150,ft,,,,,,,,,,,,
Station no,186/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.87,0.82,4.5,6.17,2.68,5.08,2.85,3.02,2.02,5.73,1.29,,,,,,
February,,,,0.11,4.03,2.13,4.37,0.52,1.32,2.26,2.62,1.49,1.45,0.68,,,,,,
March,,,,2.75,0.5,1.55,3.85,0.26,1.58,2.55,2.48,1.79,0.54,0.13,,,,,,
April,,,,2.01,3.12,1.88,2.43,0.18,2.92,1.85,1.08,1.59,0.91,1.08,,,,,,
May,,,,0.64,1.42,0.79,2.32,1.19,2.57,0.95,2.18,4.05,2.7,0.53,,,,,,
June,,,,1.25,3.7,3.29,1.74,0.47,1.35,0.92,1.79,,1.25,1.13,,,,,,
July,,,,1.82,1.06,4,0.68,1.69,3.47,3.38,2.27,1.51,1.44,1.24,,,,,,
August,,,,2.09,,1.14,1.25,2.14,2.06,0.04,4.53,2.4,1.35,1.48,,,,,,
September,,,,1.75,4.01,2.18,2.25,1.83,0.72,1.57,0.2,1.96,1.3,2.53,,,,,,
October,,,,1.78,3.12,1.96,3.38,2.76,4.98,3.16,1.19,2.55,3.29,4.16,,,,,,
November,,,,3.53,5.69,3.19,2.33,4.2,4.35,5.74,2.95,1.58,1.77,3.73,,,,,,
December,,,,7.11,3.69,2.47,4.22,3.87,1.05,1.42,1.08,3.4,1.72,2.33,,,,,,
Total,,,,26.71,,29.08,34.99,21.79,31.45,26.69,25.39,,23.45,20.31,,,,,,
,,,,,,,,,,,,,,,,,,,,
Netherwood Filmer Grove Farncombe,,,,,,,,,,,,,,,,,,,,
Gauge about 60yds W of Godalming Greylees which ends in 1933,,,,,,,,,,,,,,,,,,,,
1934 Data supplied by engineer and manager Godalming WW,,,,,,,,,,,,,,,,,,,,
1935 Aug Marked as estimated,,,,,,,,,,,,,,,,,,,,
1942 June Estimated,,,,,,,,,,,,,,,,,,,,
1945 Terminated Observer moving,,,,,,,,,,,,,,,,,,,,
