GODALMING-FILMER-GROVE-(GREYLEES),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU971444,Long,-0.61101,Lat,51.19088,Elevation,150,ft,,,,,,,,,,,,,
Station no,186/6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.46,2.65,4.42,2.57,3.72,1.5,4.5,1.53,3.26,2.16,,,,,,,
February,,,,,0.62,4.79,2.15,5.08,1.93,0.7,1.66,1.94,0.33,4.35,,,,,,,
March,,,,,1.24,0.76,0.46,3.49,2.26,0,1.21,0.38,1.85,4.66,,,,,,,
April,,,,,3.48,2.57,3.16,1.95,1.92,0.6,1.97,3.71,2.69,0.84,,,,,,,
May,,,,,3.52,3.32,1.51,1.29,2.03,3.75,2.34,2.76,4.67,2.1,,,,,,,
June,,,,,2.97,0.07,2.76,3.92,2.81,1.36,0.62,1.36,1.5,1.56,,,,,,,
July,,,,,4.44,4.21,1.29,1.84,1.76,1.33,2.54,3.83,2.45,1.76,,,,,,,
August,,,,,2.4,4,1.21,3.54,1.76,1.41,3.26,3.02,0.47,0.84,,,,,,,
September,,,,,4,2.53,0.97,5.35,1.38,0,2.77,2.24,2.24,2.71,,,,,,,
October,,,,,3.66,2.94,2.44,1.75,6.39,3.7,1.15,0.54,4.86,1.8,,,,,,,
November,,,,,2.86,2.44,6.12,3.78,2.64,7.25,4.28,3.52,0.99,0.96,,,,,,,
December,,,,,4.51,3.38,0.25,4.62,2.58,8.26,2.65,0.56,0.54,0.21,,,,,,,
Total,,,,30.66,36.16,33.66,26.74,39.18,31.18,29.86,28.95,25.39,25.85,23.95,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge about 60yds E of Filmer Grove which starts in 1934,,,,,,,,,,,,,,,,,,,,,
1929 Sept 4 Inspection Good site ,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am in winter,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 10am in summer,,,,,,,,,,,,,,,,,,,,,
1934 Records destroyed on change of gardener Subsequent removal,,,,,,,,,,,,,,,,,,,,,
1934 No record being kept at new address Terminated,,,,,,,,,,,,,,,,,,,,,
