DOWNHAM-MARKET-BEXWELL,,,,,,,,,,
Grid ref,TF631034,Long,0.40702319,Lat,52.603903,Elevation,112,ft,,
Station no,RR6641,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,1.53,,,,,,,,,
September,0.88,,,,,,,,,
October,2.9,,,,,,,,,
November,,,,,,,,,,
December,3.99,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1870 Jul Nov duplicate values removed,,,,,,,,,,
