"COLEBROOKE",,,,,,,,,,,,
Grid ref,IH409446,Long,-7.371716,Lat,54.348579,,,,,,,
Station no,6187/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,6.59,1.54,2.63,3.82,2.50,5.01,5.33,1.70,4.13,,
February,3.40,1.48,1.23,4.72,3.76,1.68,3.24,3.91,1.15,3.64,,
March,3.48,2.07,0.55,3.89,0.75,2.03,3.41,1.80,3.40,1.98,,
April,1.94,1.13,1.67,0.65,3.31,1.32,1.88,1.51,3.08,3.29,,
May,1.31,1.84,3.74,4.66,3.07,1.61,1.75,2.55,1.14,2.53,,
June,2.56,2.87,0.78,2.33,5.20,3.88,2.66,5.46,2.74,4.60,,
July,3.42,1.80,4.97,6.27,1.69,4.74,4.19,4.78,4.39,5.32,,
August,4.97,4.34,3.43,2.79,1.15,6.02,4.67,4.97,1.26,5.59,,
September,2.80,1.56,4.51,6.15,3.92,3.34,4.59,4.25,2.00,3.48,,
October,0.92,5.97,2.34,6.75,2.42,2.76,3.98,2.73,6.39,3.72,,
November,5.51,1.93,4.43,5.34,3.11,2.77,0.94,2.67,4.84,5.73,,
December,6.14,3.98,3.10,4.05,4.57,5.59,5.17,4.89,7.23,5.13,,
Total,39.68,35.56,32.29,50.23,36.77,38.24,41.49,44.85,39.32,49.14,,
Calc annual,39.68,35.56,32.29,50.23,36.77,38.24,41.49,44.85,39.32,49.14,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
