"BRADFORD, STAIRS TOP OXENHOPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE002342,Long,-1.998445,Lat,53.804097,Elevation,1360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.96,7.03,6.43,1.11,0.68,0.52,4.88,6.39,8.3,4.96,6.5,2.55,1.75,2.85,6.49,3.79,5.5,1.72,5.87,3.18,2.77,2.5,5.15,7.73,5.3,3,3.05,3.47,3.2,1.52,5.2,1.62,2.64,2,6.7,2.78,5.25,5.2,3.8,5.62,2.73,2.23,3.15,5,5.15,10.25,3.75,5.93,4.01,7.39,6.46,5.56,13.84,2.66,7.46,7.46,6.5,3.9,5.75,3.28,6.12,7.19,8.62,7.76,2.65,3.9,5.01,6.92,8.27,4.6,6.2,4.6,11.3,2.75,3.94,6.1,5.48,2.18,4.31,2.76,7.15,5.7,5.28,3.82,6.31
February,,,,,,,1.85,5.13,2.47,2.87,5.7,6.03,5.2,3.8,3.76,3.25,-999,1.12,0.72,3.14,0.96,0.93,3.2,6.84,8.47,0.56,2.66,3.72,4.62,2.3,4.23,1.75,1.75,3.75,4.6,1.4,1.92,2.43,3.16,2,6.18,5.83,2.4,2.82,3.82,4.65,5.83,1.06,7.14,1.73,3.64,0.52,5.69,7.43,1.67,8.59,6.2,2.8,8.03,0.78,1.19,7.41,0.26,4.68,0.69,10.79,2.87,7.86,3.06,6.35,2.53,5.68,1.76,3.44,2.35,6.5,7.28,3.35,4.82,4.27,7.74,4.3,1.58,2.79,4.71,3.2,1.94,4.32,9.05,0.86,4.66
March,,,,,,,5.73,4.47,2.57,2.53,4.2,7.29,5.08,0.9,3.45,3.21,-999,2.56,3.75,3.12,5,3,1.44,1.16,,3.9,6.36,5.73,1.78,2.64,1.03,4.7,1.9,4.46,2.55,3.1,2.44,4.23,3.43,2.76,1.26,2.56,4.75,,6.94,1.06,3.4,2.94,1.4,3.95,4.62,3.42,3.57,2.79,1.66,2.2,3.63,5.23,3.74,1.21,3.69,0.62,3.64,2.77,3.5,3.03,3.87,3.15,2.88,5.98,4.12,4.88,3.08,1.98,0.63,2.2,1.45,8,2.14,1.83,3.52,5.42,3.05,2.76,3.31,3.08,2.81,4.98,3.15,2.35,2.44
April,,,,,,,5.18,4.09,2.31,1.88,2.5,,6.16,3.08,1.61,2.42,3.62,1.32,3.35,4.3,1.85,3.24,2.05,1.12,2.57,3.41,2.68,3.26,3.53,3.72,2.05,2.5,2.2,2.3,3.35,4,1.75,3.46,2.67,5.58,3.53,2.56,1.15,3.82,2.2,2.22,3.95,2.33,1.08,2.15,5.9,1.37,3.98,4.11,2.93,4.16,2.87,4.9,1.68,1.84,4.55,4.58,4.77,2.59,3.22,4.5,2.48,3.92,1.15,2.56,3.9,3.12,2.37,2.65,4.24,3.2,2.08,5.2,3.32,5.14,4.26,2.7,3.4,4.16,0.85,2.4,3.76,0.65,1.8,4.82,3.35
May,,,,,,,3.29,3.92,4.59,1.56,3.14,3.72,1.22,1.55,2.71,3.61,5.85,2.35,1.46,2.67,3.99,3.92,4.74,2.67,3,0.61,0.95,2.75,3.55,3.07,2.25,1.5,3.6,4.13,3.4,1.1,3.7,4.45,2.61,2.52,2.77,1.97,3.5,3.75,2.45,1.76,3.1,2.36,2.6,2.18,5.35,2.31,1.57,5.17,6.59,5.75,4.47,2.48,1.66,3.84,2.68,3.42,4.83,2.84,3,0.92,2.23,3.35,5.32,1.81,1.82,3.23,4.54,3.87,3.43,4.69,1.92,3.32,1.3,3.24,2.79,4.7,2.89,2.97,3.95,4.06,2.37,1.39,7,1.77,1.6
June,,,,,,,0.96,2.73,3.79,8.07,5.8,3.08,6.15,3.9,1.11,3.95,1.73,0.33,2.85,1.31,4.65,2.3,4.59,3,4.2,2.36,4.04,3.8,3.83,2.25,4,1.8,1.9,1.75,1.93,2.65,1.88,,2.4,2.24,3.18,4.97,7.72,1.38,1.95,0.54,3.02,2.1,2.24,1.91,2.61,0.17,2.65,1.39,3.17,0.08,3.34,5.05,7.33,2.22,2.45,7.21,1.59,3.01,2.96,5.02,5.48,3.04,4.98,4.55,0.87,0.64,1.71,4.71,3.5,5.11,4.1,3.26,5.16,0.77,2.36,1.41,3.64,4.38,3.1,3.59,5.05,3.77,6.06,4.13,1.2
July,,,,,,,3.43,6.42,1.14,6,5.73,6.42,5.75,4.45,5.94,2.6,5.85,0.89,7.11,3.14,4.05,4.38,3.8,4.48,4.59,7.24,2.1,2.4,1.66,2.25,2.2,2.3,3.75,5,3.13,2.76,3.28,3.02,4.43,6.63,4.58,0.93,6.5,1.44,4.48,5.46,3.85,2.5,3.86,2.96,8.55,1.76,6.07,5.91,5.23,2.36,3.55,3.54,1.84,3.44,7.62,6.82,5.17,3,3.84,3.45,6.9,3.08,5.98,7.75,4.94,2.23,5.44,2.74,4.28,2.97,4.35,2.93,2.46,3.92,4.29,3.86,2.78,6.55,4.7,1.03,6.65,5.61,4.67,3.75,7.15
August,,,,,,,3.84,6.93,6.26,7.54,2.01,5.3,3.1,3.6,1.72,2.31,2.12,2.09,5,6.28,6.71,8.45,5.1,4.42,5.56,5.37,2.85,5.55,6.2,2,5.85,3.1,3.9,5.25,5.15,5.66,4.67,4.18,3.24,4.19,4.75,1.6,7.9,1.27,2.7,4.96,3.39,7.78,3.24,4.22,2.3,6.65,5.23,7.55,6.26,5.92,4.88,8.34,5.82,4.67,7.66,5.5,1.53,1.72,5.18,2.12,4.24,3.16,5.98,4.68,2.4,6.51,4.87,6.87,4.09,4.82,8.39,0.39,5.02,3.14,7.13,5.34,6.74,6.21,9.92,1.55,10.88,6.72,4.95,1.51,4.86
September,,,,,,,5.64,4.3,5.78,2.75,5.43,3.2,2.63,8.9,2.98,6.56,1.95,5.1,2.05,3.43,2.95,4.42,3.91,5.67,0.73,2.52,8.6,5.2,1.62,7.35,1.4,1.35,2.4,5.7,1.38,3.4,2,1.06,3.17,3.96,0.46,3.46,3,1.98,3.18,0.71,3.41,2.68,12.4,2.35,2.25,1.96,6.12,6.78,6.5,4.09,4.54,6.55,0.98,2.22,5.78,4.75,6.69,2.61,3.96,8.1,5.85,2.24,2.9,2.25,4.87,0.71,3.48,5.88,7.95,3.65,8.04,3.29,4.02,1.82,7.46,3.62,5.35,5.34,6.82,2.75,5.85,7.34,5.43,0.31,3.5
October,,,,,,,5.23,7.92,6.65,4.1,4.26,5.22,5.12,6.83,3.53,7.85,6.5,3.14,2.56,6.55,4.13,4.9,9.14,5.57,6.9,5.64,5.52,2.23,7.15,3.4,5.7,3.3,5.7,11.9,1.6,4.42,7.8,5.84,3.38,5.71,4.35,4.64,5.6,2.5,3.02,2.43,10.75,7.3,3.95,2.4,2.5,2.76,1.14,7.33,5.86,7.31,4.52,7.1,7.55,6.76,8.16,3.59,8.95,5.8,7.52,14.14,6.35,3.28,13.44,3.99,5.23,6.74,8.4,3.16,5.21,6.8,1.32,1.85,2.82,5.18,3.81,1.95,5.62,3.11,9.65,3.68,2.8,7.49,4.47,6.47,7.6
