"ST MARY'S",,,,,,,,,,,,
Grid ref,SV913120,Long,-6.302926,Lat,49.928280,,,,,,,
Station no,1951,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.27,3.29,1.31,4.67,4.42,1.02,4.19,0.83,1.14,2.48,,
February,4.54,2.09,1.31,1.69,7.12,1.37,3.89,1.67,1.42,1.06,,
March,2.09,2.96,1.60,3.93,2.11,4.11,1.23,0.88,3.17,4.39,,
April,1.43,3.73,2.58,1.24,1.15,2.06,1.32,3.26,1.10,1.99,,
May,1.63,0.87,1.28,1.46,3.05,1.38,2.87,3.26,1.31,0.59,,
June,2.62,1.96,1.98,1.24,1.32,1.54,1.32,1.28,0.64,1.71,,
July,1.05,1.39,1.51,3.44,2.03,1.02,1.03,1.11,1.77,1.62,,
August,2.15,1.69,1.90,4.91,2.33,4.53,2.27,1.08,3.25,1.38,,
September,0.99,3.53,2.38,2.69,2.56,1.91,0.93,2.00,3.33,0.56,,
October,1.79,3.27,3.06,6.89,2.79,1.86,4.22,6.09,1.34,5.52,,
November,4.11,1.13,4.22,2.54,2.38,5.01,3.38,3.21,0.94,1.35,,
December,5.47,6.64,2.20,5.17,3.15,1.67,3.11,4.59,5.26,4.30,,
Total,34.14,32.55,25.33,39.87,34.41,27.48,29.76,29.26,24.67,26.95,,
Calc annual,34.14,32.55,25.33,39.87,34.41,27.48,29.76,29.26,24.67,26.95,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
