ST.MARY'S (COASTGUARD STATION),,,,,,,,,,,,
Grid ref,SV913120,Long,-6.302926,Lat,49.928280,,,,,,,
Station no,1951,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.88,3.54,2.18,2.38,5.53,4.88,2.66,4.02,4.46,3.45,,
February,4.27,1.34,1.61,4.49,4.67,1.20,3.98,4.13,0.23,4.48,,
March,4.63,3.20,0.97,2.76,2.18,1.48,4.83,4.34,3.20,3.03,,
April,1.61,2.73,2.91,0.48,1.26,1.13,0.50,1.22,2.52,1.59,,
May,2.48,1.92,2.96,2.60,3.88,1.33,1.34,2.66,1.29,2.40,,
June,1.19,0.70,1.72,2.99,4.52,1.93,1.10,2.89,0.54,1.87,,
July,0.43,2.03,4.55,3.33,0.07,3.89,2.25,2.09,0.95,4.40,,
August,5.29,4.09,2.15,1.33,0.42,2.80,2.50,4.61,0.98,4.65,,
September,3.51,4.36,3.04,3.12,1.06,4.89,2.44,5.25,0.04,3.67,,
October,1.67,3.16,2.23,2.59,3.33,1.91,2.13,2.84,4.46,7.07,,
November,5.55,6.35,1.87,6.70,1.99,1.61,2.85,1.77,5.78,5.55,,
December,4.30,4.13,1.81,3.55,4.25,4.69,4.15,4.71,8.29,4.85,,
Total,39.81,37.55,28.00,36.32,33.16,31.74,30.73,40.53,32.74,47.01,,
Calc annual,39.81,37.55,28.00,36.32,33.16,31.74,30.73,40.53,32.74,47.01,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
