ST MARYS COASTGUARD STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SV912120,Long,-6.3032,Lat,49.9291,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.63,5.03,2.25,4.83,3.52,2.93,2.89,2.87,0.98,5.63,5.32,3.35,4.76,3.04,3.85,3.09,4.7,2.56,2.89,3.32,4.33,5.61,1.99,1.42,4.88,3.54,2.18,2.38,5.53,4.88,2.66,4.02,4.46,3.45,,
February,,,,,,,,1.71,3.05,3.5,1.86,2.28,0.05,3.01,0.5,2.13,7.74,4.56,1.47,1.41,3.55,4.03,0.29,1.34,1.59,2.34,3.25,4.84,1.41,1.2,6.4,4.27,1.34,1.61,4.49,4.67,1.2,3.98,4.13,0.23,4.48,,
March,,,,,,,,2.74,3.99,0.33,2.76,3.46,2.41,2.98,3.9,1.04,4.26,5.08,0.58,2.16,2.6,3.83,2.26,0.58,0.44,0.95,1.84,7.58,1.44,1.74,1.8,4.63,3.2,0.97,2.76,2.18,1.48,4.83,4.34,3.2,3.03,,
April,,,,,,,,2.78,4.48,1.56,1.96,0.9,2.25,2.04,2.41,3.75,1.77,2.55,0.05,1.89,3.33,1.81,1.66,1.48,1.78,1.7,1.13,2.22,2.77,1.93,1.16,1.61,2.73,2.91,0.48,1.26,1.13,0.5,1.22,2.52,1.59,,
May,,,,,,,,1.34,2.41,5.04,1.49,2.31,3.31,2.78,1.13,0.9,1.09,2.16,2.26,0.55,0.61,1.87,4.69,2.18,0.2,3.11,3.87,3,1.96,2.87,2.58,2.48,1.92,2.96,2.6,3.88,1.33,1.34,2.66,1.29,2.4,,
June,,,,,,,,2.52,1.87,1.95,1.04,2.7,2.13,2.23,3.06,2.11,1.36,1.26,2.37,2.06,1.35,0.67,0.58,0.85,2.1,3.05,1.72,4.13,1.59,0.48,2.11,1.19,0.7,1.72,2.99,4.52,1.93,1.1,2.89,0.54,1.87,,
July,,,,,,,,1.79,1.02,0.93,2.67,4.63,2.57,1.7,1.85,0.28,6.68,0.54,2.2,3.17,2.97,1.13,1.98,2.13,2.62,2.38,2.05,2.37,1.51,1.24,3.34,0.43,2.03,4.55,3.33,0.07,3.89,2.25,2.09,0.95,4.4,,
August,,,,,,,,2.39,1.47,1.67,4.02,2.93,1.01,1.06,2.79,2.89,0.59,0.59,2.53,2.33,0.18,5.03,2,1.8,2.73,1.35,4.68,1.07,4.12,1.81,4.89,5.29,4.09,2.15,1.33,0.42,2.8,2.5,4.61,0.98,4.65,,
September,,,,,,,,5.57,2.42,0.5,3.78,2.46,4.35,2.33,1.87,2.8,1.3,3.65,2.45,0.82,1.83,1.06,1.99,2.17,1.32,2.12,2.97,1.45,0.98,4.73,4.45,3.51,4.36,3.04,3.12,1.06,4.89,2.44,5.25,0.04,3.67,,
October,,,,,,,,2.1,5.75,5.69,4.59,0.89,7.16,5.44,1.78,4.22,0.85,5.23,2.8,3.3,3.07,1.18,2.09,2.24,2.4,2.51,2.76,2.97,4.98,6.72,2.93,1.67,3.16,2.23,2.59,3.33,1.91,2.13,2.84,4.46,7.07,,
November,,,,,,,,1.85,3.5,7.58,5.75,6.38,2.04,2.09,2.34,4.76,3.72,2.17,5.32,4.72,4.56,2.65,0.83,2.07,5.44,2.43,5.63,3.05,1.54,4.85,6.18,5.55,6.35,1.87,6.7,1.99,1.61,2.85,1.77,5.78,5.55,,
December,,,,,,,,3.54,3.35,7.33,3.81,1.51,2.95,2.2,7.43,4.43,2.37,4.17,3.23,2.2,2.71,1.61,3.54,2.37,2.66,5.02,4.63,2.83,5.16,2.39,3.85,4.3,4.13,1.81,3.55,4.25,4.69,4.15,4.71,8.29,4.85,,
Total,,,,,,,,33.96,38.34,38.33,38.56,33.97,33.16,30.75,31.93,30.29,37.36,37.28,28.61,29.37,29.8,28.72,25,23.91,25.84,29.85,37.85,39.84,33.07,31.95,41.11,39.81,37.55,28,36.32,33.16,31.74,30.73,40.53,32.74,47.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Oct 1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1875 & 76 totals removed as incomplete years (estimates only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
