ST MARYS COASTGUARD STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SV900106,Long,-6.3197,Lat,49.9152,Elevation,77,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.44,3.25,,,,,,,,,,,,,3.11,3.6,1.15,2.3,4.1,0.89,4.24,2.24,,,,,,,,3.03,6.47,,3.2,,,5.48,2.29,6.45,0.75,2.72,2.91,3.4,3.19,2.87,3.39,3.19,1.86,2.14,3.88,2.35,1.91,3.24,3.7,4.68,0.97,3.47,1.08,4.75,6.27,3.29,1.31,4.67,4.42,1.02,4.19,0.83,1.14,2.48,2.64,1.64,3.25,5.87,1.41,4.1,1.42,2.88,3.75,5.01,3.85,3.32,3.27,1.56,4.27,3.11,4.87,,,,
February,,,1.57,3.86,,,,,,,,,,,,2.11,2.37,1.72,3.32,2.2,1.8,4.49,1,1.14,,,,,,,,2.03,5.39,,2.56,,,1.56,1.34,4.7,3.26,3.75,2.56,5.01,3.16,3.78,2.17,0.7,1.07,2.24,2,0.02,5.3,3.74,1.26,0.52,1.04,3.63,1.63,3.31,4.54,2.09,1.31,1.69,7.12,1.37,3.89,1.67,1.42,1.06,3.43,1.98,2.85,1.05,3.01,4.68,5.31,1.07,1.92,5.16,0.5,0.48,3.27,5.63,1.47,4.44,2.57,,,,
March,,,1.75,1.17,,,,,,,,,,,,2.96,0.66,2.97,2.56,1.78,2.36,1.67,3.59,2.21,,,,,,,,0.91,4.19,,1.03,,,1.7,1.44,1.81,2.69,3.02,1.06,1.68,4.13,1.03,3.5,1.19,3.41,3.16,1.3,3.44,0.85,0.34,1.4,2.29,2.38,4.43,1.09,0.86,2.09,2.96,1.6,3.93,2.11,4.11,1.23,0.88,3.17,4.39,0.93,3.64,4.76,3.29,5.89,0.39,4.91,4.13,0.99,4.66,2.51,2.26,2.65,1.71,1.85,1.12,0.6,,,,
April,,,1.11,3.04,,,,,,,,,,,,0.88,3.41,3.24,3.01,2.39,0.87,1.83,1.44,0.73,,,,,,,,3.23,2.84,,1.66,,,4.14,3.76,2.67,3.68,1.08,4.23,1.72,1.69,2.99,2.17,0.87,1.36,1.55,1.67,1.57,1.18,0.18,2.8,2.2,0.46,3.33,2.19,2.11,1.43,3.73,2.58,1.24,1.15,2.06,1.32,3.26,1.1,1.99,2.69,1.69,0.22,4.11,1.78,1.3,0.56,1.53,1.66,1.72,2.19,0.97,3.55,3.87,2.57,3.71,2.31,,,,
May,,,1.29,4.06,,,,,,,,,,,,3.16,3.46,1.57,2.08,0.88,1.68,0.82,1.12,1.96,,,,,,,,0.29,1.71,,0.94,,,3.03,3,1.91,1.74,0.9,0.7,1.7,1.43,2.6,1.41,1.38,1.16,1.9,4.2,2.25,2.11,0.61,2.02,0.33,0.14,0.97,3.32,1.82,1.63,0.87,1.28,1.46,3.05,1.38,2.87,3.26,1.31,0.59,2.39,0.61,1.19,2.63,0.99,1.81,2.83,1.65,1.82,2.48,1.37,1.45,1.29,1.85,2.56,3.09,1.75,,,,
June,,,1.64,3.38,,,,,,,,,,,,1.62,1.53,2.1,1.09,0.82,3.28,2.16,2.73,2.65,,,,,,,,2.13,2.28,,1.68,,,1.16,3.22,5.59,1.27,2.17,3.13,3.18,0.73,1.3,0.46,0.07,3.12,0.38,3.05,2.88,1.16,0.63,1.05,1.03,1.18,1.5,1.98,1.67,2.62,1.96,1.98,1.24,1.32,1.54,1.32,1.28,0.64,1.71,2.31,2.7,2.83,1.32,2.29,1.97,1.33,4.22,0.87,1.13,1.98,0.29,1.09,0.36,2.01,0.01,2.29,,,,
July,,,1.95,1.35,,,,,,,,,,,,2.63,1.06,1.88,4.1,1.44,0.81,4.29,2.56,1.34,,,,,,,,4.67,1.68,,1.64,,,2.72,2.07,2.18,2.81,2.21,4.42,3.97,4.78,0.92,3.54,1.4,3.41,2.98,4.42,0.7,0.93,3.76,5.23,2.23,2.17,0.43,0.25,1.91,1.05,1.39,1.51,3.44,2.03,1.02,1.03,1.11,1.77,1.62,1.83,1.43,2.36,0.27,3.01,3.31,1.16,2.01,3.67,0.49,4.28,0.83,2.64,1.41,4.2,2.39,0.92,,,,
August,,,1.71,2.63,,,,,,,,,,,,1.71,3.27,2.21,1.61,3.87,3.53,1.56,1.7,3.61,,,,,,,,1.24,1.53,,1.65,,,3.93,5,4.94,0.33,3.04,1.65,0.82,2.25,1.82,1.87,2.84,2.01,1.9,2.02,5.58,4.2,1.55,2.91,2.21,1.8,3.81,1.65,1.64,2.15,1.69,1.9,4.91,2.33,4.53,2.27,1.08,3.25,1.38,4.62,3.33,8.12,2,1.03,1.3,3.09,4.8,2.47,2.97,1.48,4.26,2.58,1.85,2.4,3.39,2.98,,,,
September,,7.03,3.16,,,,,,,,,,,,,0.52,2.61,2.69,2.55,4.55,1.77,2.41,3.13,1.66,,,,,,,,6.06,2.35,,4.35,,,3.06,3.37,4.16,2.44,3.01,2.19,5.01,1.63,4.9,3.26,3.17,1.57,1.17,2.2,3.79,2.65,4.8,1.64,0.17,3.96,3.93,0.97,2.11,0.99,3.53,2.38,2.69,2.56,1.91,0.93,2,3.33,0.56,0.25,3.9,0.75,3.94,2.68,1.18,3.34,2.16,5.68,1.34,1.93,0.48,2.98,2.64,2.6,2.95,0.52,,,,
October,,3.06,1.32,,,,,,,,,,,,,3.91,3.29,4.6,2.81,4.52,2.54,1.06,4.77,2.51,,,,,,,,4.7,4.35,,5.69,,,3.21,4.42,1.5,6.75,2.23,4.51,2.55,1.05,5.35,4.38,3.78,2.04,4.79,0.73,6.71,3.18,2.27,4.35,4.13,5.35,2.25,5.41,2.69,1.79,3.27,3.06,6.89,2.79,1.86,4.22,6.09,1.34,5.52,5.11,5.08,2.81,3.44,2.56,4.41,5.1,4.13,2.96,1.08,6.15,1.72,1.47,4.8,7.13,3.29,3.62,,,,
November,,4.75,7.14,,,,,,,,,,,,,0.81,1.3,1.97,2,2.88,3.99,3.3,2.11,2.24,,,,,,,,3.57,5.24,,3.97,,,6.87,4.11,2.77,3.67,4.13,4.35,4.04,2.54,3.28,2.8,3.57,4.54,3.41,3.41,3.45,2.66,1.48,8.65,4.81,1.08,1.72,4.32,2.62,4.11,1.13,4.22,2.54,2.38,5.01,3.38,3.21,0.94,1.35,5.03,3.31,2.88,3.05,3.01,2.17,4.88,1.46,2.92,2.95,1.48,3.68,1.55,3.26,3.25,3.42,5.9,,,,
December,,2.71,2.25,,,,,,,,,,,,,3.69,3.64,0.67,4.25,3.1,6.47,3.05,2.78,1.84,,,,,,,,2.69,5.9,,5.98,,,3.34,4.73,1.2,6.63,5.55,8.78,1.61,2.64,1.79,5.93,3.12,3.79,2.21,3.47,4.17,2,3.9,3.03,5.26,5.26,6.26,3.24,6.36,5.47,6.64,2.2,5.17,3.15,1.67,3.11,4.59,5.26,4.3,5.39,4.92,4.43,3.87,6.65,7.28,4.79,1.85,3.8,4.34,2.66,1.77,6.28,3.14,4.54,4.12,0.74,,,,
Total,,,,,,,,,,,,,,,,,29.71,29.22,30.53,30.73,33.2,27.53,31.17,24.13,,,,,,,,34.55,43.93,,34.35,,,40.2,38.75,39.88,36.02,33.81,40.49,34.69,29.22,32.63,34.88,25.28,29.34,27.83,32.35,36.91,28.13,26.5,38.04,29.86,25.79,35.73,27.13,31.85,34.14,32.55,25.33,39.87,34.41,27.48,29.76,29.26,24.67,26.95,36.62,34.23,36.45,34.84,34.31,33.9,38.72,31.89,32.51,33.33,30.38,21.51,32.62,32.08,38.85,35.04,29.07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1843 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1843 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1860 Apr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1860Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Oct 1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1875 & 76 totals removed as incomplete years (estimates only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note Station moved 1.5 miles NE at the end of 1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_D_pt2-page-150 added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_G_pt1-page-272 added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
