"BARTON ANDERTON FOLD",,,,,,,,,,,,
Grid ref,SD514395,Long,-2.740229,Lat,53.849449,,,,,,,
Station no,RR4263,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.93,2.26,2.62,4.06,3.38,2.10,4.44,1.87,2.98,2.27,,
February,3.36,1.98,1.51,3.75,3.77,1.68,3.56,2.05,2.61,1.54,,
March,0.70,3.99,2.77,4.14,2.72,3.23,3.16,3.62,2.84,3.03,,
April,2.25,2.05,1.28,1.72,2.45,2.76,1.76,2.12,2.82,4.08,,
May,0.82,0.79,3.37,2.73,2.99,0.69,4.57,3.69,2.49,2.09,,
June,3.07,1.82,1.43,1.74,1.74,2.37,1.90,8.13,2.24,2.44,,
July,1.89,1.37,4.68,3.20,3.08,1.90,1.76,3.24,4.96,6.27,,
August,5.37,2.79,2.54,4.88,4.51,4.53,3.54,5.49,4.10,3.69,,
September,2.39,1.52,1.40,5.78,1.81,2.42,1.50,0.99,5.28,3.04,,
October,6.62,3.68,3.85,8.85,2.63,3.04,6.43,3.87,2.74,5.79,,
November,3.47,5.00,3.12,3.21,2.47,3.87,3.17,3.79,3.92,1.78,,
December,5.45,4.43,2.74,3.08,3.01,1.11,3.81,4.49,2.17,7.06,,
Total,40.32,31.68,31.31,47.14,34.56,29.70,39.60,43.35,39.15,43.08,,
Calc annual,40.32,31.68,31.31,47.14,34.56,29.70,39.60,43.35,39.15,43.08,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
