BARTON ANDERTON FOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD514395,Long,-2.740229,Lat,53.849449,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.42,1.62,3.67,2.54,2.43,,3.7,4.98,4.93,2.26,2.62,4.06,3.38,2.1,4.44,1.87,2.98,2.27,5.74,1.4,2.92,3.83,,,,,,
February,,,2.41,4.81,5.41,0.11,1.62,,3.05,2.17,3.36,1.98,1.51,3.75,3.77,1.68,3.56,2.05,2.61,1.54,4.43,4.19,1.53,1.62,,,,,,
March,,,0.86,0.99,3.26,3.94,4.81,,1.14,2.88,0.7,3.99,2.77,4.14,2.72,3.23,3.16,3.62,2.84,3.03,0.91,1.38,5.75,4.49,,,,,,
April,,,1.46,0.38,1.83,2.58,2.03,,2,4.24,2.25,2.05,1.28,1.72,2.45,2.76,1.76,2.12,2.82,4.08,2.5,2.7,0.41,4.51,,,,,,
May,,,4.14,1.88,2.71,0.57,0.57,,3.45,2.96,0.82,0.79,3.37,2.73,2.99,0.69,4.57,3.69,2.49,2.09,2.32,1.21,2.06,2.64,,,,,,
June,,,3.49,1.29,2.76,1.91,3.39,,2.61,2.02,3.07,1.82,1.43,1.74,1.74,2.37,1.9,8.13,2.24,2.44,2.42,2.86,5.77,2.13,,,,,,
July,,,1.5,3.58,3.36,3.92,4.15,,1.02,1.67,1.89,1.37,4.68,3.2,3.08,1.9,1.76,3.24,4.96,6.27,5.17,0.67,4.05,1.91,,,,,,
August,,,5.35,4.74,5.77,5.35,3.6,,5.57,1.95,5.37,2.79,2.54,4.88,4.51,4.53,3.54,5.49,4.1,3.69,5.11,3.44,4.94,1.71,,,,,,
September,,,4.53,5.4,0.67,1.31,5.38,,1.47,5.28,2.39,1.52,1.4,5.78,1.81,2.42,1.5,0.99,5.28,3.04,0.36,3.96,1.85,2.27,,,,,,
October,,,4.72,6.47,4.16,4.65,3.55,,3.93,3.4,6.62,3.68,3.85,8.85,2.63,3.04,6.43,3.87,2.74,5.79,3.82,3.31,4.46,1.91,,,,,,
November,,,3.03,2.51,4.27,3.17,1.62,,4.25,2.38,3.47,5,3.12,3.21,2.47,3.87,3.17,3.79,3.92,1.78,5.32,3.82,3.64,4.51,,,,,,
December,,,2.56,4.39,3.99,4.2,5.36,,4.27,3.24,5.45,4.43,2.74,3.08,3.01,1.11,3.81,4.49,2.17,7.06,3.46,5.63,3.84,2.26,,,,,,
Total,,,37.47,38.06,41.86,34.25,38.51,,36.46,37.17,40.32,31.68,31.31,47.14,34.56,29.7,39.6,43.35,39.15,43.08,41.56,34.57,41.22,33.79,,,,,,
