OVERCOMBE-PRESTON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SY696823,Long,-2.43125,Lat,50.63963,Elevation,50,ft,,,,,,,,,,,,
Station no,1560/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.55,5.65,3.43,4.47,4.7,6.71,2.49,,,,,,
February,,,,,,,,0.88,1.92,3.94,4.05,0.16,1.38,0.41,,,,,,
March,,,,,,,,0.37,1.05,3.27,3.79,2.51,1.04,0.17,,,,,,
April,,,,,,,,0.09,2.26,1.61,1.77,1.78,0.77,2.13,,,,,,
May,,,,,,,,1.17,1.35,1.81,3.22,4.29,2.17,0.45,,,,,,
June,,,,,,,,0.53,2.39,0.35,2.48,0.4,0.86,2.01,,,,,,
July,,,,,,,,1.89,4.45,2.42,1.56,1.36,1.89,3.1,,,,,,
August,,,,,,,,2.24,2.6,0.07,3.56,4.5,2.03,2.08,,,,,,
September,,,,,,,,1.78,0.76,1.98,1.16,2.79,2.22,1.87,,,,,,
October,,,,,,,,3.71,6.43,6.58,1.33,4.07,3.61,3.44,,,,,,
November,,,,,,,,5.07,5.95,8.51,1.95,2.18,2.62,6.35,,,,,,
December,,,,,,,,3.16,2.53,2.51,2.28,4.45,3.33,2.19,,,,,,
Total,,,,,,,,24.44,37.34,36.48,31.62,33.19,28.63,26.69,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Carrick Lodge, 60 Preston Road",,,,,,,,,,,,,,,,,,,,
1942 Total changed as all monthly totals seem correctly transcribed,,,,,,,,,,,,,,,,,,,,
1944 Record terminating because of observers failing eyesight,,,,,,,,,,,,,,,,,,,,
