"SOYLAND MOOR (BAITINGS)",,,,,,,,,,,,
Grid ref,SE004190,Long,-1.995422,Lat,53.667479,,,,,,,
Station no,3220,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.23,4.87,1.60,4.17,3.35,5.85,4.82,4.80,4.14,5.94,,
February,4.42,1.37,2.93,4.00,2.86,1.67,3.18,7.41,0.68,3.26,,
March,6.70,3.21,2.49,3.63,2.71,2.06,3.96,2.61,2.25,1.89,,
April,2.86,3.78,4.07,0.74,2.27,3.23,0.55,1.42,4.80,3.31,,
May,3.65,1.94,3.86,3.40,4.55,1.78,2.01,5.44,2.30,2.44,,
June,1.37,3.73,2.97,3.67,3.40,3.82,2.38,6.48,2.32,1.90,,
July,3.69,2.71,6.27,5.81,1.08,8.31,5.39,5.87,3.49,7.47,,
August,6.14,5.12,5.05,6.98,1.59,12.10,6.57,6.13,0.52,5.68,,
September,2.80,3.75,3.48,6.08,3.16,4.73,5.87,5.61,0.69,3.33,,
October,1.62,5.96,2.69,9.30,3.12,3.28,7.56,4.94,4.40,5.77,,
November,10.86,2.46,5.78,7.44,2.77,1.93,3.57,2.15,5.44,8.47,,
December,9.05,4.07,2.05,7.92,6.81,4.68,6.61,5.39,8.19,5.50,,
Total,58.39,42.97,43.24,63.14,37.67,53.44,52.47,58.25,39.22,54.96,,
Calc annual,58.39,42.97,43.24,63.14,37.67,53.44,52.47,58.25,39.22,54.96,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
