PORTISHEAD-REDCLIFFE-BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST441758,Long,-2.80632,Lat,51.478382,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2049/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.69,3.96,3.27,4.54,5.03,2.93,3.86,3.66,6.74,2.26,2.19,3.46,2.68,6.14,0.83,0.94,4.27,2.55,0.73,2.39,3.92,3.34,3.23,3.33,4.03,3.71
February,,,,,2.94,2.15,5,0.97,1.25,2.06,2.45,0.24,1.56,0.61,3.65,2.25,,1.44,0.98,5.82,3.78,0.66,1.76,3.29,1.99,,3.49,4.32,0.44,2.24
March,,,,,0.78,3.43,3.04,0.43,1.19,2.13,2.71,2.25,1.3,0.21,1.24,1.22,,2.05,1.39,1.79,3.99,2.72,1.23,3.96,1.66,0.72,3.79,1.16,3.02,2.25
April,,,,,5.39,2.71,2.8,0.07,2.57,2.3,1.44,1.21,0.96,2.23,1.33,2.45,3,2.15,2.05,2.48,3.18,2.4,3.74,0.62,1.52,1.87,0.39,1.05,2.91,1.66
May,,,,,1.39,1.57,2.16,2.36,0.76,3.14,1.81,3.94,3.55,0.75,4.26,4.75,3.2,4.14,3.2,2.05,3.36,5.46,2.3,1.97,4.17,0.83,1.43,3.06,2.42,1.44
June,,,,,3.85,3.13,1.67,1,2.19,0.64,1.89,0.29,2.21,3.84,3.78,3.87,1.98,2.1,0.56,2.01,0.74,1.73,1.81,4,3.96,2.17,,3.78,1.25,1.77
July,,,,,0.8,5.79,4.89,3.09,5.43,5.39,2.58,2.15,2.27,2.12,2.73,1.73,2.26,1.29,2.7,4.36,1.27,0.94,4.24,4.49,0.2,3.3,,2.31,2.43,5.11
August,,,,,2.05,0.69,0.67,3.66,3.02,0.03,5.64,3.04,4.31,3.5,2.91,8.98,1.43,4.14,2.29,6.72,5.31,5.05,5.88,,1.48,5.6,3.05,3.88,2.81,5.19
September,,,,,7.78,3.65,1.54,1.84,0.73,0.82,0.63,2.11,3.72,4.85,2.59,5.16,1.29,3.1,3.67,5.79,3.13,3.38,3.02,,1.59,3.5,4.63,6.85,0.24,5.42
October,,,,,6.38,1.36,3.14,5.22,2.66,4.25,1.53,3.09,2.66,4.07,4.2,0.91,0.73,4.24,7.73,1.88,0.86,5.31,2.64,5.19,1.75,1.66,3.88,3.2,3.65,7.11
November,,,,,6.44,3.97,2.14,4.08,4.73,7.38,1.89,1.28,2.03,6.03,0.8,5.24,3.62,1.82,3.05,4.53,7.62,3.78,3.29,6.41,3.78,0.76,2.64,2.51,4.71,5.71
December,,,,,3.97,3.63,1.85,2.78,2.15,1.23,2.16,3.24,1.91,2.11,5.13,3.83,2.73,3.97,2.8,2.52,3.1,2.97,1.57,3,3.97,4.63,2.39,4.14,7.19,4.23
Total,,,,,42.46,36.04,32.17,30.04,31.71,32.3,28.59,26.5,33.22,32.58,34.81,43.85,,36.58,31.25,40.89,40.61,36.95,32.21,,29.99,,,39.59,35.1,45.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unable to locate NGR taken from sheet Whole area is on a slope facing NW to the sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no 1997/5 before change of river division lines after 1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Considerable adjustment of daily entries particularly Aug and Sept Total for year unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 4 Inspection Gauge sound but loose Site on hill facing NW possibly o/e but trees nearby Recommended new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mention of new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Feb Part estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Mar Amended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 June July Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Redcliffe Bay SRC_ID 9407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
