HAMPTON BISHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO560380,Long,-2.642876,Lat,52.038645,Elevation,148,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2225/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.4,2.53,0.88,3.85,3.42,2.35,6.17,3.02,3.96,2.69,5.88,2.18,1.43,2.67,2.25,3.9,1.11,0.4,2.55,1.82,0.39,1.8,2.73,1.88,1.73,1.88,4.45,5.1
February,,,3.33,0.36,2.03,2.75,3.9,0.61,1.19,2.4,2.86,0.4,1.29,0.77,1.67,1.47,1.54,1.35,0.97,4.6,3.88,0.47,1.38,1.59,1.3,0.74,3.09,4.43,0.15,2.4
March,,,2.47,1.96,0.64,2.57,3.55,0.11,1.62,1.28,2.4,2.81,0.99,0.34,0.64,0.79,5.33,1.19,1.24,1.56,3.19,1.56,0.7,2.33,1.61,0.48,2.44,0.91,2.49,1.95
April,,,0.66,3.06,3.95,2.58,1.67,0.14,1.57,2.23,1.02,0.94,0.76,1.13,0.95,2.27,2.44,2.21,2.16,1.64,2.28,1.94,2.63,0.24,0.37,2.87,,0.78,2.73,
May,,5.48,2.84,1.17,0.66,0.76,2.19,1.5,0.9,2.14,2.19,3.38,3,0.66,2.76,3.88,2.79,3.21,2.42,1.14,3.92,2.79,1.57,1.8,3.02,0.49,,2.82,1.2,
June,,0.21,1.54,0.73,2.98,2.99,1.12,1.4,2,0.57,2.3,0.17,1.93,1.41,2.7,2.8,1.42,2.23,0.31,1.22,0.98,1.68,1.31,4.97,4.15,2.08,,4.18,,
July,,3.34,1.43,0.74,0.23,5.8,2.49,2.74,4.84,2.54,2.48,1.25,1.39,1.98,2.54,1.38,1.9,0.87,0.64,2.6,1.05,0.97,2.36,1.61,0.87,4.7,2.63,3.45,,
August,,3.87,0.49,2.35,1.95,0.86,1.01,3.23,1.63,0.15,2.99,2.83,1.65,2.57,2.88,5.39,0.87,4.52,1.11,3.98,2.94,3.96,3.56,3.55,0.7,,3.66,3.02,,
September,,4.45,2.06,1.86,2.79,2.23,1.69,1.64,0.65,1.06,0.66,1.45,2.23,2.63,1.55,3.82,1.28,2.42,2.02,2.78,2.09,1.78,1.48,1.29,1.01,,2.93,,0.13,
October,,4.66,4.53,1.5,2.81,1.54,3.19,2.54,2.47,3.94,1.87,1.85,2.38,3.99,3.3,0.81,0.48,2.62,5.45,0.66,0.72,3.43,2.11,2.61,1.61,1.2,1.2,,1.72,
November,,3.56,0.57,1.76,4.93,2.77,1.58,2.57,4.4,6.16,2.19,0.91,1.59,3.95,0.52,5.02,1.87,1.71,2.68,4.34,5.94,3.37,0.78,6.02,3,0.96,2.48,,4.24,
December,,,0.62,5.44,3.37,2.88,2.12,3.59,1.69,1.42,1.54,3.8,1.57,1.92,4.86,2.22,1.83,5.19,1.1,1.05,2.37,1.97,1.09,2.14,2.8,3.1,2.46,,6.02,
Total,,,21.94,23.46,27.22,31.58,27.93,22.42,29.13,26.91,26.46,22.48,24.66,23.53,25.8,32.52,24,31.42,21.21,25.97,31.91,25.74,19.36,29.95,23.17,,,,,
