FAWKHAM-AND-NORTHFLEET (NORTHFLEET),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ625747,Long,0.33709258,Lat,51.447974,Elevation,20,ft,,,,,,,,,,,,
Station no,RR6902,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739
January,,,,,,,,,,,,0.77,0.54,0.56,,,,,,
February,,,,,,,,,,,,1.09,2.28,0.56,,,,,,
March,,,,,,,,,,,,0.34,1.22,1.18,,,,,,
April,,,,,,,,,,,,1.43,1.31,0.62,,,,,,
May,,,,,,,,,,,,0.27,3.49,1.64,,,,,,
June,,,,,,,,,,,,2.69,0.8,2.31,,,,,,
July,,,,,,,,,,,,1.97,1.53,1.45,,,,,,
August,,,,,,,,,,,,0.98,0.93,2.31,,,,,,
September,,,,,,,,,,,,0.59,0.82,0.52,,,,,,
October,,,,,,,,,,,,1.4,3.3,0.83,,,,,,
November,,,,,,,,,,,,1.36,1.27,3.61,,,,,,
December,,,,,,,,,,,,2.17,1.47,3.15,,,,,,
Total,,,,,,,,,,,,15.06,18.96,18.74,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Obs. John Hooker,,,,,,,,,,,,,,,,,,,,
NGR used is Met Office derived (1978),,,,,,,,,,,,,,,,,,,,
1731 Total corrected,,,,,,,,,,,,,,,,,,,,
1734 values removed as are said to be and look like duplicates of TONBRIDGE HOOKER location,,,,,,,,,,,,,,,,,,,,
1735 Total value removed as not believed to be an original value,,,,,,,,,,,,,,,,,,,,
