"SPROWSTON",,,,,,,,,,,,
Grid ref,TG251123,Long,1.327176,Lat,52.661657,,,,,,,
Station no,1428,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,2.88,1.37,1.51,1.95,3.19,2.02,2.23,3.41,4.09,,
February,3.16,0.98,1.76,2.16,2.25,2.19,2.35,3.58,0.23,1.78,,
March,3.39,2.44,0.53,2.35,2.00,0.86,2.13,1.11,1.15,1.08,,
April,3.63,1.53,1.94,0.60,0.43,0.97,0.37,1.13,1.73,1.06,,
May,1.68,1.04,1.17,1.70,2.20,0.69,1.16,3.35,0.39,0.31,,
June,1.32,1.44,2.06,2.05,2.28,2.35,2.13,2.75,0.87,1.05,,
July,2.19,2.12,2.21,2.61,0.37,2.52,2.69,3.34,1.19,3.72,,
August,3.48,1.92,2.67,5.06,0.99,3.52,2.42,2.87,1.35,3.81,,
September,2.25,2.69,1.91,1.57,1.92,1.25,3.55,1.92,0.09,4.09,,
October,0.69,2.28,2.23,2.29,4.64,3.10,1.35,1.93,2.37,4.39,,
November,3.29,4.28,1.38,4.44,0.86,1.57,2.06,1.10,2.50,2.94,,
December,1.47,2.57,1.11,1.83,1.77,1.80,2.48,2.68,2.85,3.86,,
Total,29.46,26.17,20.34,28.17,21.66,24.01,24.71,27.99,18.13,32.18,,
Calc annual,29.46,26.17,20.34,28.17,21.66,24.01,24.71,27.99,18.13,32.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
