NORWICH SPROWSTON (CHURCH FARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG250122,Long,1.3271,Lat,526613,Elevation,93,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.95,2.42,2.07,3.12,1.69,1.83,2.87,1.22,0.81,1.38,3.09,2.66,3.44,2.17,5.23,1.75,2.91,3.2,3.99,2.2,2.36,1.77,1.72,3.43,1.04,1.3,2.91,2.88,1.37,1.51,1.95,3.19,2.02,2.23,3.41,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.64,1.73,2.05,1.5,0.81,0.98,2.3,1.01,1.99,0.72,1.85,2.47,2.72,0.86,0.81,1.33,2.35,1.01,0.6,1.73,1.48,3.33,1.95,0.88,0.9,3.03,3.16,0.98,1.76,2.16,2.25,2.19,2.35,3.58,0.23,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.85,0.32,1.95,1.33,0.02,1.41,0.87,2.07,1.94,1.12,0.59,0.46,2.69,0.42,2.04,2.86,2.93,1.97,0.74,0.79,1.79,0.85,4.85,0.69,1.27,0.4,3.39,2.44,0.53,2.35,2,0.86,2.13,1.11,1.15,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.14,2.61,1.51,1.29,1.08,1.61,3.31,2.82,1.3,2.27,2.34,1.31,2.33,0.52,3.13,1.4,0.85,0.76,0.71,1.69,2.03,0.63,2.13,0.77,1.78,1.68,3.63,1.53,1.94,0.6,0.43,0.97,0.37,1.13,1.73,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.83,0.99,0.94,1.83,1,2.93,4.3,4.09,1.73,2.34,1.43,0.65,3.59,1.86,0.77,0.75,1.84,2.7,1.6,1.07,1.77,1.3,0.83,2.93,1.82,1.95,1.68,1.04,1.17,1.7,2.2,0.69,1.16,3.35,0.39,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.61,2.58,4.73,2.45,0.86,1.47,1.79,0.5,2.08,1.82,2.98,3.1,1.1,0.94,1.64,0.42,0.57,1.34,1.3,1.33,2.17,3.48,1.31,2.11,1.08,2.55,1.32,1.44,2.06,2.05,2.28,2.35,2.13,2.75,0.87,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.6,1.6,2.21,1.76,3.5,4.18,3.25,3.11,1.18,1.29,0.91,3.77,1.98,2.75,1.39,4.54,1.27,3.37,0.73,2.22,0.86,5.8,0.99,1.9,3.2,4.67,2.19,2.12,2.21,2.61,0.37,2.52,2.69,3.34,1.19,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.02,2.32,3.23,1.53,1.34,2.57,3.12,2.45,0.81,2.51,1.21,1.64,1.08,1.18,2.36,1.39,4.35,1.16,1.49,0.9,2.94,3,0.14,3.11,1.58,2.43,3.48,1.92,2.67,5.06,0.99,3.52,2.42,2.87,1.35,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.86,0.83,5.31,1.1,0.81,6.57,1.99,2.51,2.53,1.78,2.82,2.64,1.88,2.31,1.64,1.07,0.37,1.92,2.52,3.54,1.95,2.53,0.67,1.4,1.19,3.33,2.25,2.69,1.91,1.57,1.92,1.25,3.55,1.92,0.09,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.24,1.88,2.83,2.5,2.57,2.91,1.09,1.19,4.49,2.41,1.45,3.03,1.96,2.68,2.92,6.27,2.18,2.81,3.83,1.52,3.51,2.97,1.26,0.46,1.59,3.26,0.91,0.69,2.28,2.23,2.29,4.64,3.1,1.35,1.93,2.37,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
