"BROMHAM (THE OLD SMITHY)",,,,,,,,,,,,
Grid ref,TL010506,Long,-0.525444,Lat,52.144466,,,,,,,
Station no,1179/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.12,2.39,3.71,2.69,,
February,,,,,,,2.31,2.68,0.12,2.15,,
March,,,,,,,1.53,1.65,2.29,1.67,,
April,,,,,,,0.24,0.80,1.74,0.34,,
May,,,,,,,1.71,2.02,0.55,1.34,,
June,,,,,,,1.90,5.47,0.55,2.20,,
July,,,,,,,2.16,2.79,2.46,4.06,,
August,,,,,,,1.72,3.07,0.57,2.48,,
September,,,,,,,3.90,2.24,0.04,3.71,,
October,,,,,,,1.59,1.99,1.73,4.17,,
November,,,,,,,1.55,1.79,1.71,3.35,,
December,,,,,,,2.44,2.55,3.47,3.22,,
Total,,,,,,,22.17,29.44,18.94,31.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.17,29.44,18.94,31.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
