GRENOCK INFIRMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 274 761,Long,-4.764907,Lat,55.947197,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,1.83,2.27,0,0.81,3.18,4.62,6.77,4.37,2.81,2.21,,2.8,2.08,4.18,1.91,3.79,4.16,0.83,0.52,0.61,1.46,0.58,9.43,1.96,4.54,,0.97,
February,,,3.42,6.17,2,3.93,1.94,4.34,2.82,3.51,1.19,1.62,,3.44,1.67,2.22,5.5,1.97,2.75,1.61,2.56,2.61,1.52,4.57,2.4,3.65,1.78,,0.43,
March,,,2.9,1.97,1.17,5.48,2.76,4.72,4.13,2.13,2.19,4.71,,2.32,1.96,2.47,1.38,4.28,1.87,1,3.12,4.12,,0.87,2.4,2.84,4.5,,3.1,
April,,,1.29,1.86,2.46,1.27,0.91,0.21,1.35,5.2,1.26,2.15,2.83,1.36,0.22,1.89,2.02,2.14,3.48,2.05,2.82,1.74,,1.88,0.19,1.39,,,1.03,
May,,,2.14,3.4,0.35,3.13,2.69,2.47,1.18,1.44,4.68,1.57,0.81,3.92,0.03,2.16,0.12,3.24,1.35,2.27,2.92,1.3,1.34,2.2,0.92,3.88,,,1.85,
June,,,1.45,0.67,1.2,1.82,1.87,3.1,2.89,2.87,1.82,0.5,0.56,1.23,1.41,1.88,0.83,2.39,0.71,2.56,1.6,1.43,2.67,3.48,2.57,1.57,,,3.6,
July,,,2.66,3.18,2.81,1.23,4.64,3.64,4.28,1.86,1.66,1.47,5.47,4.96,2.29,0.28,2.17,2.79,3.16,2.93,4.35,3.57,1.46,1.48,1.33,2.07,,,3.19,
August,,4.88,3.73,0.95,3.33,2.65,1.52,4.68,1.14,1.25,5.06,1.5,2.47,,1.84,1.79,3.38,0.99,3.05,4.38,3.08,3.82,2.7,1.23,2.35,3.4,,,4.89,
September,,2.44,2.25,2.2,1.55,4.08,5.13,1.51,3.65,2.96,3.4,3.52,2.49,,2.83,3.05,1.34,1.62,2.14,1.85,4.26,2.58,1.69,2.87,3.25,5.54,,,2.96,
October,,5.1,3.94,3.03,4.38,5.78,3.08,1.23,2.94,3.94,2.93,5.23,5.1,2.47,3.31,4.58,,2.82,2.57,3.2,1.5,8.15,4.6,2.75,3.18,3.11,,,4,
November,,4.61,4.54,3.55,5.92,2.7,2.74,4.64,2.98,1.48,3.52,4.86,7.35,2.6,6.79,5.22,2.25,1.62,3.91,2.99,4.6,4.86,4.27,2.24,2.83,5.75,,,2.78,
December,,5.97,0.72,0.77,5.57,3.88,4.61,4.23,3.3,3.98,3.87,6.57,2.27,6.77,6.37,3.72,3.25,6.77,5.54,1.6,2.28,4.66,4.32,8.03,2.41,2.97,,,2.95,
Total,,,30.87,30.02,30.74,36.76,35.07,39.39,37.43,34.99,34.39,35.91,,,30.8,33.44,,34.42,34.69,27.27,33.61,39.45,,32.18,33.26,38.13,,32.39,31.75,
