TEIGNMOUTH-THE-SHRUBBERY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX946740,Long,-3.489,Lat,50.5564,Elevation,275,ft,,,,,,,,,,,,,
Station no,1730,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.48,7.13,0.63,2.93,1.22,1.13,3.73,5.77,5.3,3.5,4.83,1.66,4.63,5.24,4.52,4.32,4.08,2.12,4.92
February,,,3.77,1.3,4.22,6.16,6.13,1.07,1.33,6.31,0.6,0.21,3.49,7.24,1.53,4.82,2.54,3.4,2.53,2.78,1.62
March,,,5.24,3.74,4.98,0.73,4.09,3.74,1.36,4.26,3.92,1.94,3.42,2.01,2.2,0.4,0.67,3.54,3.67,0.14,2.73
April,,,0,3.7,1.24,0.92,0.46,1.22,2.19,1.69,3.77,0.65,4.22,3.35,3.29,2.73,2.79,1.8,1.87,1.2,2.89
May,,,1.42,3.49,1.71,2.93,1.91,2.07,1.41,1.31,1.67,2.13,0.66,1.98,5.28,4.01,0.85,0.61,1.46,2.74,1.6
June,,,4.29,0.46,1.32,2.07,2.57,2.37,0.91,0.99,1.73,0.3,0.56,0.3,2.82,0.04,3.35,2.52,1.97,2.12,0.32
July,,,2.8,0.37,3.34,4.04,0.99,1.97,4.37,1.5,3.49,0.54,3.72,0.75,4.48,2.58,1.09,3.29,1.63,1.6,2.25
August,,,,1.07,2.22,1.87,4.83,5.38,2.14,2.96,1.12,2.5,2.93,2.8,2.94,1.85,1.32,3.01,2.3,2.1,3.36
September,,,1.07,1.82,2.39,1.25,2.96,1.62,6,1.81,1.33,1.03,2.29,2.73,4.76,3.68,1.25,4.69,2.28,0.32,3.86
October,,,4.56,5.16,2.7,5.3,5.76,3.62,1.85,1.29,2.76,1.42,1.51,5.25,6.25,3.68,3.58,2.63,5.59,5.72,3.44
November,,,1.78,3.54,4.65,2.83,4.78,1.49,3.19,3.45,1.9,3.66,2.55,2.53,3.28,3,8.73,2.82,4.53,10.07,5.51
December,,9.73,4.47,2.08,9.24,8.8,4.07,1.15,3.74,5.08,5.1,1.41,6.52,2.62,5.03,4.89,0.66,3.99,3.43,7.57,3.88
Total,,,,33.86,38.64,39.83,39.77,26.83,32.22,36.42,32.69,19.29,36.7,33.22,46.49,36.92,31.35,36.62,35.34,38.48,36.38
,,,,,,,,,,,,,,,,,,,,,
Dawlish Road,,,,,,,,,,,,,,,,,,,,,
1911 Near Bonnicliff,,,,,,,,,,,,,,,,,,,,,
1931 Station terminated,,,,,,,,,,,,,,,,,,,,,
