DALRY (CATBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS255559,Long,-4.782944,Lat,55.764881,Elevation,1013,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.8,4.9,0.65,10.9,7.6,7.14,5.2,8.8,8.3,10.72,9.65,5.75,7.65,8.75,4.2,7.2,4.65,5.3,7.9,7.9,2.7,4.8
February,,,,,,,,,9.9,4.06,4.75,3,8.3,3.75,10.15,5.55,1,6.85,7.7,6.6,4.35,3.35,4.3,6.4,3.5,2.5,4.8,5,3.5,6.1
March,,,,,,,,,6.15,6.26,3.05,5.83,2.9,2.45,4.8,3.3,5.2,6.3,4.75,4.85,4.65,5.75,1.5,4.7,2.1,4.05,8.3,2.15,5.3,2.75
April,,,,,,,,,4.21,3.35,3,2.95,5.85,4.45,3.55,3.35,7.1,4.85,9.3,4.4,3.6,3.05,3.95,3.6,7.5,2,3.4,2.65,4.2,7.5
May,,,,,,,,,1.65,1.2,4.15,4,3.9,5.7,5.35,0.95,5.85,2.95,2.75,1.5,2.4,1.85,4.1,4,5.6,4.45,2.55,5.3,2.6,3.4
June,,,,,,,,,4.1,2,2.9,3,6,5.45,5.3,4.6,5.65,7.8,1.65,3.85,2.55,4.95,1.65,6.5,6,4.4,3.3,2.95,4.25,4.9
July,,,,,,,,,9.4,3.34,5.55,6.95,4.95,5.45,4.35,6.35,4.65,6.4,2.25,7.45,5.95,5.65,7.3,6.25,1.05,9,8.15,5.7,7.85,7.15
August,,,,,,,,,2.5,4.15,7.75,11.05,10.27,4.35,3.5,4.15,0.07,9.65,7.6,8.85,5.65,6.2,6.5,8.7,1.45,7.1,6.8,6.5,1.95,4.7
September,,,,,,,,,5.1,7.45,3.45,9.65,5.5,8.05,7.85,12.2,7.8,10.6,4.1,14.4,6.75,5.35,9.5,9.35,7.5,6.9,4.8,5.85,2.55,4.95
October,,,,,,,,,3.05,7.04,7.25,11.05,13.85,9.4,9.9,0.45,3.95,12.2,9.55,6.65,1.75,7.25,4.6,12.3,4.85,4,9.5,6.45,8.81,3.55
November,,,,,,,,,12.9,10.55,5.55,1.55,5.1,8.55,1.15,10.15,9.4,5.35,10.05,4.8,8.6,3.4,12.25,11.1,4,3.75,3.65,4.25,7.04,9.9
December,,,,,,,,,5.8,10.7,4.15,10.65,4.15,7.5,6.25,7.45,4.35,9.3,11.55,2.65,10.85,7.2,7.3,9.2,10.76,8.65,7.05,8.1,11.6,9.5
Total,,,,,,,,,71.56,65,52.2,80.58,78.37,72.24,67.35,67.3,63.32,92.97,80.9,71.75,64.75,62.75,67.15,89.3,58.96,62.1,70.2,62.8,62.35,69.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
