SHERBORNE-CRENDLE-COURT,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST688186,Long,-2.44529,Lat,50.96619,Elevation,360,ft,,,,,,,,,,,,,
Station no,1545,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.48,4.74,3.15,3.14,2.95,3.09,0.82,5.1,6.83,,,
February,,,,,,,,,,1.05,1.41,2.74,0.02,4.28,0.11,3.11,2.98,6.01,,,
March,,,,,,,,,,0.35,1.52,1.24,1.71,3.52,2.56,1.06,4.5,4.4,,,
April,,,,,,,,,,0.7,2.66,3.02,2.73,1.08,2.38,4.15,1.81,1.89,,,
May,,,,,,,,,,2.49,1.84,3.05,4.96,1.65,1.09,1.45,0.81,2.84,,,
June,,,,,,,,,,1.54,0.24,3.02,2.11,2.8,1.18,3.71,2.63,0.93,,,
July,,,,,,,,,,1.59,2.4,4.04,2.38,2.51,1.9,0.67,5.31,3.5,,,
August,,,,,,,,,,2.14,3.4,3.34,0.96,1.66,3.51,2.89,0.07,1.52,,,
September,,,,,,,,,,0.86,3.69,1.63,4.64,1.84,2.77,4.06,3.36,3.44,,,
October,,,,,,,,,,5.26,2.6,0.58,7.04,2.54,2.93,4.92,1.66,5.12,,,
November,,,,,,,,,,9.16,4.84,6.01,2.47,0.77,1.82,7.54,3.11,1.92,,,
December,,,,,,,,,,8.55,3.24,1.24,1.51,0.98,7.91,5.4,4.2,3.96,,,
Total,,,,,,,,,,35.17,32.58,33.06,33.67,26.58,31.25,39.78,35.54,42.36,,,
,,,,,,,,,,,,,,,,,,,,,
Unknown where kitchen garden was but NGR matches elevation,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated owing to death of observer,,,,,,,,,,,,,,,,,,,,,
