"SEABANK, NEWPORT-ON-TAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 42232 28446,Long,-2.938617,Lat,56.444633,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.39,2.01,3.88,1.09,1.91,3.64,1.98,1.9,1.32,1.04,3.96,3.35,3.61,3.56,,2.61,4.18,3.43,,,,,,,
February,,,,,,,4.99,1.32,1.7,2.02,1.32,1.27,0.12,2.36,0.07,1.47,3.45,2.97,0.41,2.09,,4.25,1.39,1.01,,,,,,,
March,,,,,,,0.89,2.21,4.13,0.39,1.85,1.05,2.64,1.6,2.71,1.43,2.27,3.49,0.34,2.12,,2.03,1.66,0.53,,,,,,,
April,,,,,,,2.01,1.03,0.7,1.19,1.85,1.97,2.16,1.21,5.31,3.06,0.68,1.82,0.03,1.01,,1.63,1.28,1.63,,,,,,,
May,,,,,,,2.02,2.3,1.34,2.42,1.7,3.58,2.87,1.53,1.99,0.56,1.2,1.87,3.74,1.18,,2.35,3.64,2.45,,,,,,,
June,,,,,,,3.01,2.24,4.04,1.44,1.61,4.55,1,1.4,0.8,4.01,1.27,2.03,2.65,1.58,,1.18,1.05,3.78,,,,,,,
July,,,,,,,2.91,1.92,0.76,2.79,2.23,4.01,2.76,2.46,3.16,1.25,4.46,4.89,3.31,3.94,,2.75,2.2,2.66,,,,,,,
August,,,,,,,2.06,6.11,5.25,3.25,5.51,3.02,0.47,0.52,3.37,1.95,1.88,3.33,1.28,1.95,,2.73,1.96,5.3,,,,,,,
September,,,,,,,3.04,4.85,1.98,0.57,4.17,1.11,1.37,1.29,2.35,3.47,3.18,0.9,2.83,1.66,,1.31,2.78,2.46,,,,,,,
October,,,,,,,3.61,4.98,3.43,2.29,1.98,0.81,5.69,2.93,2,3.19,1.31,3.22,3.35,3.75,,4.23,1.15,3.09,,,,,,,
November,,,,,,,4.55,1.9,2.07,3.55,3.18,4.8,1.18,2.17,0.63,3.99,1.55,0.38,3.52,4.5,4.85,3.84,0.49,1.3,,,,,,,
December,,,,,,,0.29,2.16,2.63,3.62,2.59,0.8,2.78,1.37,3.44,1.58,1.99,3.47,2.86,1.3,1.27,1.03,2,1.27,,,,,,,
Total,,,,,,,34.77,33.03,31.91,24.62,29.9,30.61,25.02,20.74,27.15,27,27.2,31.72,27.93,28.64,,29.94,23.78,28.91,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Dec Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
