KELHAM-SUGAR-FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK792552,Long,-0.818909,Lat,53.08815,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2593/5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.45,2.17,3.89,1.79,2.56,2.11,3.48,2.11,1.62,1.5,1.75,3.59,1.01,0.84,2.2,1.31,0.66,0.81,,4.01,0.92,,,4.35
February,,,,,,,2.34,1.03,0.57,1.98,1.8,0.4,0.41,2.3,1.79,1.81,1.39,1.04,0.41,3.72,2.63,,1.34,2.29,,0.66,2.36,,,1.87
March,,,,,,,1.81,0.23,1.83,1.36,2.78,1.69,0.52,0.28,0.87,0.87,4.67,0.29,1.21,0.67,2.99,2.42,0.6,1.93,,0.64,1.79,,,1.51
April,,,,,,,2.28,0.08,1.97,0.83,0.89,0.72,0.82,1.99,1.74,1.56,1.85,1.06,1.92,2.11,1.04,1.09,2.03,0.09,,1.52,0.25,,,0.75
May,,,,,,,3.13,3,1.28,0.75,1.73,3.54,2.38,0.71,1.67,1.09,0.87,1.94,1.72,1.61,2.58,1.65,2.01,3.13,,0.6,1.09,,,0.77
June,,,,,,,0.57,1.25,2.1,1.38,0.19,1.28,1.18,1.43,2.13,2.7,2.4,1.98,0.9,0.96,0.74,1.97,2.56,3.19,,3.84,1.58,,,1.43
July,,,,,,,2.61,3.15,3.74,3.62,3.32,2.21,0.96,1.33,1.77,1.29,1.28,0.74,3.27,1.74,0.9,0.29,1.45,1.82,,3.02,3.23,,,4.03
August,,,,,,,0.46,3.11,2.83,0.32,3.74,1.99,1.28,2.71,1.97,3.69,0.22,2.63,1.71,1.99,4.85,1.42,2.09,3.82,,4.69,2.83,,,3.86
September,,,,,,,0.9,2.61,0.66,0.58,0.56,0.79,2.27,3.44,1.26,2.49,0.97,2.41,1.01,2.17,1.07,1.6,0.89,1.97,,1.98,4.13,,,3.48
October,,,,,,,3.89,2.09,2.98,3.34,2.98,1.89,1.85,2.12,2.68,0.91,0.16,1.6,4.04,0.69,1.11,2.48,2.23,2.78,,1.05,0.83,,,4.14
November,,,,,,,1.09,2.21,3.21,4.66,2.52,1.6,3.85,3.44,0.49,4.36,0.88,0.87,2.54,3.62,4.1,1.31,1.46,4.21,,0.74,1.95,,,2.96
December,,,,,,,2.32,3.17,1.38,1.42,0.61,1.36,0.67,0.86,1.55,2.32,1.54,2.67,1.59,0.84,1.15,1.67,0.89,2.04,,1.32,1.36,,,2.99
Total,,,,,,,23.85,24.1,26.44,22.03,23.68,19.58,19.67,22.72,19.54,24.59,17.98,20.82,21.33,20.96,25.36,,18.21,28.08,,24.07,22.32,,,32.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
