SOUTHAMPTON-BITTERNE-PARK,,,,,,,,,,
Grid ref,SU441130,Long,-1.37331,Lat,50.91534,Elevation,35,ft,,
Station no,692/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.87,2.32,3.68,4.91,2.55,4.71,3.44,4.2
February,,,1.38,3.22,2,0.15,4.11,2.9,0.18,3.22
March,,,0.54,3.36,1.24,0.62,2,1.73,3.49,1.74
April,,,1.62,0.24,0.39,2,0.09,0.58,2.6,1.22
May,,,2.41,1.91,4.3,0.25,1.65,2.17,0.81,1.39
June,,,2.67,3.45,2.68,1.91,1.4,3.42,0.76,2.9
July,,,4.57,2.64,1.96,2.07,4.48,1.56,1.66,4.45
August,,,1.73,3.89,0.85,3.37,3.71,4.68,1.57,6.01
September,,,3.92,2.79,1.64,3.84,2.88,5.47,0.07,4.94
October,,,4.87,2.72,4.48,2.33,2.23,2.74,2.62,7.43
November,,,1.5,5.58,2.79,0.75,2.79,2.65,3.7,5.07
December,,,0.79,2.92,4.41,5.5,2.06,4.42,6.36,3.44
Total,,,26.87,35.04,30.42,27.7,29.95,37.03,27.26,46.01
,,,,,,,,,,
60 Athelstan Road,,,,,,,,,,
1960 Jan 1 All trees topped and stones removed from rockery to remove over shelter and splashing as per inspectors report at end of 1959,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Bitterne Park SRC_ID 7596,,,,,,,,,,
1953-1975,,,,,,,,,,
