COMPTON-SANDY-KNOWE-GDNS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU950474,Long,-0.64111,Lat,51.21828,Elevation,295,ft,,,,,,,,,,,,,
Station no,193,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.49,3.75,1.51,2.62,2.41,4.44,2.43,3.06,1.35,3.17,1.34,2.86,2.06,2.05,0.82,5,5.78,2.67,4.95,
February,,0.28,2.26,4.89,0.46,4.4,2.26,4.69,1.53,0.5,0.91,1.7,0.3,3.55,0.12,3.64,2.3,4.39,0.49,1.45,
March,,1.12,2.24,2.85,1.02,0.67,0.35,3.32,1.91,0,1.07,0.38,1.79,3.18,2.65,0.44,1.67,4.01,0.22,1.19,
April,,1.14,3.04,2.5,3.44,2.38,3.47,2.28,1.96,0.8,2.02,3.85,2.52,0.94,2.06,3.29,1.64,2.36,0.01,2.81,
May,,1.4,0.81,2.75,3.09,2.53,0.87,1.24,2.02,2.25,2.36,3,4.57,2.62,0.6,1.64,0.57,2.38,1.18,2.14,
June,,0.11,1.35,0.3,3.27,0,2.03,3.79,2.21,1.5,0.72,,1.36,2.63,1.61,3.91,3.25,1.75,0.48,1.15,
July,,0.41,4.82,1.32,4.2,3.83,1.41,1.58,2.24,1.3,2.24,,2.51,2.95,1.98,1.27,3.62,0.64,1.93,3.06,
August,,1.33,2.73,2.34,2,3.94,1.24,3.52,1.38,1.6,3.48,,0.72,0.44,2.38,3.44,1.19,1.2,1.53,2.23,
September,,0.86,1.57,1.59,4.22,2.95,1.13,5,1.39,0.16,3.32,,2.63,2.49,1.57,4.33,2,2.5,1.74,,
October,,1.69,1.19,6.6,3.42,3.37,2.35,1.52,5.25,3.06,1.38,,4.24,1.89,1.84,3.69,2.01,3.62,2.71,,
November,,1.12,1.64,1.75,2.25,2.29,6.1,3.68,2.22,6.1,4.38,,0.98,0.87,3.36,6.23,3.3,1.76,4.25,,
December,,1.63,4.42,1.54,4.16,2.69,0.27,3.28,2.68,6.63,2.3,,0.74,0.41,7.11,3.47,3.17,4.19,2.83,,
Total,32.92,13.58,29.82,29.94,34.15,31.46,25.92,36.33,27.85,25.25,27.35,,25.22,24.03,27.33,36.17,29.72,34.58,20.04,,
,,,,,,,,,,,,,,,,,,,,,
House elevation is 300ft The given elevation of 250ft is 400yds SE of house,,,,,,,,,,,,,,,,,,,,,
NGR in lowest part of gardens but gardens quite large,,,,,,,,,,,,,,,,,,,,,
1931 Gauge broken but repaired,,,,,,,,,,,,,,,,,,,,,
1935 July Aug Adjusted for late reading,,,,,,,,,,,,,,,,,,,,,
1939 Sept Station terminated Observer moved to Littlehampton Sussex,,,,,,,,,,,,,,,,,,,,,
