NEWPORT-TREDEGAR-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,ST289851,Long,-3.0270378,Lat,51.56028,Elevation,25,ft.,,,,,,,,,,,,
Station no,RR7386,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,4.74,1.45,5.25,6.47,1.89,3.79,3.69,,,
February,,,,,,,,,,,5.38,3.58,3.17,1.81,3.99,4.83,6.09,,,
March,,,,,,,,,,,1.28,2.46,6.84,5.58,5.17,1.4,3.96,,,
April,,,,,,,,,,,2.56,2.97,0.42,4.96,2.56,1.27,1.37,,,
May,,,,,,,,,,,2.32,1.29,2.47,3.05,2.06,3.1,4.38,,,
June,,,,,,,,,,,4.02,2.39,7.03,2.04,3.41,0.71,3.49,,,
July,,,,,,,,,,,2.83,0.28,3.77,0.21,6.38,4.75,1.48,,,
August,,,,,,,,,,,5.57,2.94,7.82,1.27,3.12,3.7,4.44,,,
September,,,,,,,,,,,0.21,1.87,0.94,3.47,2.65,1.44,1.75,,,
October,,,,,,,,,,,4.53,4.22,4.98,5.24,2.41,5.24,8.85,,,
November,,,,,,,,,,,6.83,5.84,2.73,4.84,5.11,2.64,3.83,,,
December,,,,,,,,,,,5.12,8.36,7.1,2.29,7.81,8.89,3.99,,,
Total,,,,,,,38.2,43.71,35.02,42.35,45.39,37.65,52.52,41.23,46.56,41.76,47.32,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Tredegar Park. Stated altitude is 0, OS figure used; the house is on the edge of the flood plain",,,,,,,,,,,,,,,,,,,,
